dataset,model,probe_kind,probe_name,question_hash,run_dir,run_name,seed,subject,target_same_major_hit_rate_available,team_family_diversity,team_family_homogeneity_rate,team_major_family_diversity
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,de566530eac3,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,international_law,1,0.5170398528747675,0.3794614775823236,0.7901435838629749
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,237e5cab91d3,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,college_chemistry,1,0.7134804071359583,0.6,0.7219280948873623
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,bab7e93c939f,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,security_studies,1,0.5428177550173493,0.7366566982820386,0.584238811642856
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,9fa057383e15,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,high_school_european_history,1,0.6801148589303806,0.18987341772151897,0.9602297178607612
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,72ec25d9df6f,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,college_medicine,1,0.36096404744368116,0.6,0.7219280948873623
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,daaf2e0aa6f2,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,global_facts,1,0.7844359684647981,0.38456413058141714,0.7111646997652499
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,b97dc80f265a,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,high_school_geography,1,0.7609640474436812,0.3,0.9709505944546688
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,11f7bfe474b4,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,abstract_algebra,1,0.6371392191759283,0.6781980673111911,0.584238811642856
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,f4f8b1d07bd4,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,electrical_engineering,1,0.2646804326436821,0.9737948294722724,0.0
mmlu,deepseek-chat,mixed,mixed_strategy_mmlu,6e81d90019ee,prove_experiments\runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,42,formal_logic,1,0.0,1.0,0.0
