seed,source_pool_size,feasible_repair_alternative_count,zero_loss_feasible_alternative_count,lower_loss_feasible_alternative_count,original_best_candidate_hash,extended_best_candidate_hash,extended_best_is_repair,ranking_improved_by_repair
59,4,2,0,0,2b49202d10dfb6e653170e3225b5d8f8abf64e48974efef6e191717961f08e2e,f357bc0c9fd9c12b417992741ce6cc93c47dd32c0095b3450deed20f6bdff8fb,True,True
61,3,1,0,0,3e1e53492e487a7d861bcaa61801764cd5565e94d74db9cd76745aa0ec22ed7c,3e1e53492e487a7d861bcaa61801764cd5565e94d74db9cd76745aa0ec22ed7c,False,False
