seed,setting,answer_disagreement_rate,mean_pairwise_correctness_correlation,effective_ensemble_size,all_wrong_fraction,oracle_covered_vote_wrong_fraction,oracle_vote_gap
48,Static,0.0,1.0,1.0,0.32,0.0,0
48,S0,0.14400000000000013,0.7236863299619437,1.2837809893550174,0.2,0.08,10
48,S1,0.15599999999999992,0.6940903686052134,1.3240257941056357,0.176,0.12,15
48,S2,0.16479999999999995,0.6755393783748442,1.35056382170889,0.168,0.128,16
49,Static,0.0,1.0,1.0,0.32,0.0,0
49,S0,0.11359999999999992,0.8031470699134976,1.1869187464032647,0.24,0.072,9
49,S1,0.18640000000000012,0.6149904173069771,1.4451027144227733,0.128,0.168,21
49,S2,0.1671999999999999,0.6595003914300355,1.37438093680706,0.144,0.144,18
50,Static,0.0,1.0,1.0,0.312,0.0,0
50,S0,0.11999999999999988,0.7850018926622223,1.2077272600775266,0.232,0.056,7
50,S1,0.15359999999999996,0.6824888053999169,1.3404986663233045,0.16,0.144,18
50,S2,0.16959999999999997,0.6633612849047228,1.3685712550542293,0.16,0.152,19
