seed,comparison,delta_team_vote_correct,delta_mean_member_correct,delta_minimum_member_correct,accepted_update_difference
48,Static->S0,7,3.0,0,4
48,S0->S1,2,1.0,0,1
48,S1->S2,-1,-0.7999999999999972,0,2
49,Static->S0,6,3.200000000000003,0,5
49,S0->S1,0,1.7999999999999972,0,3
49,S1->S2,2,0.20000000000000284,0,1
50,Static->S0,5,2.799999999999997,1,3
50,S0->S1,1,0.20000000000000284,0,4
50,S1->S2,2,1.7999999999999972,0,2
