seed,arm,update_index,transition_ordinal,committed_target,parent_team_hash,successor_team_hash,train_vote_gain,train_vote_loss,train_vote_delta,train_oracle_delta,train_target_delta,validation_vote_gain,validation_vote_loss,validation_vote_delta,validation_oracle_gain,validation_oracle_loss,validation_oracle_delta,validation_target_gain,validation_target_loss,validation_target_delta,coverage_recovery_0_to_1,support_deepening_1_to_2plus,coverage_to_vote_conversion,wrong_cluster_weakened,wrong_cluster_strengthened,simultaneous_validation_vote_gain_loss,positive_train_vote_not_positive_validation_vote,positive_train_target_not_positive_validation_target,positive_validation_oracle_not_positive_vote
71,A_CANONICAL,0,1,4,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,d5d3806c66d1628bf0198f8607a4db97bf7364afa01237f73d1d17229d8ecfd2,0,0,0,12,1,0,0,0,11,0,11,11,2,9,11,0,0,15,2,False,False,False,True
71,A_CANONICAL,1,2,4,d5d3806c66d1628bf0198f8607a4db97bf7364afa01237f73d1d17229d8ecfd2,fd7fb7fa39205c68d5a15f74294a370052d957c747d41542d48b95ab563c902c,0,0,0,7,5,0,0,0,2,2,0,4,6,-2,2,0,0,6,6,False,False,True,False
71,A_CANONICAL,3,3,1,fd7fb7fa39205c68d5a15f74294a370052d957c747d41542d48b95ab563c902c,348e95ca7b13c08ce8be3ca0099368086968c877ae08662f88a14db8b2d14b1b,0,0,0,2,2,0,0,0,1,0,1,9,3,6,1,8,0,13,2,False,False,False,True
71,A_CANONICAL,4,4,3,348e95ca7b13c08ce8be3ca0099368086968c877ae08662f88a14db8b2d14b1b,4a6c0eed752ebbc50945fbc3d7c7421794a551a875fba924fe5c15ba4a957792,3,0,3,3,8,6,1,5,0,0,0,9,6,3,0,3,6,15,4,True,False,False,False
71,A_CANONICAL,5,5,0,4a6c0eed752ebbc50945fbc3d7c7421794a551a875fba924fe5c15ba4a957792,36575b028b5353ec718284ea82dfb99a02cb24aa7d768ef62b94188ca59f73ed,3,0,3,3,1,3,1,2,3,0,3,10,4,6,3,1,3,11,4,True,False,False,False
71,A_CANONICAL,6,6,1,36575b028b5353ec718284ea82dfb99a02cb24aa7d768ef62b94188ca59f73ed,37c7f3f39eed014c2af810946ed4babbccec6ec5632fd215811108ace82b8ca4,2,0,2,-1,3,2,2,0,2,0,2,7,7,0,2,0,2,8,7,True,True,True,True
71,C_NO_SEMANTIC_CRITIC,0,1,3,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,ab349069d477671c6e834d6c7b15558cef86d45f727ab5425026d05f5eac319f,0,0,0,21,10,0,0,0,8,0,8,8,4,4,8,0,0,13,4,False,False,False,True
71,C_NO_SEMANTIC_CRITIC,1,2,0,ab349069d477671c6e834d6c7b15558cef86d45f727ab5425026d05f5eac319f,88957fcb64c327272788d1219694816ea0ede51603ef46625a9058337075d873,0,0,0,2,5,0,0,0,4,0,4,7,1,6,4,3,0,10,1,False,False,False,True
71,C_NO_SEMANTIC_CRITIC,3,3,4,88957fcb64c327272788d1219694816ea0ede51603ef46625a9058337075d873,377adca9a44255516b37a5ecefe46990b4d926edc217262b947d6050a5907208,6,0,6,2,10,2,0,2,2,0,2,9,4,5,2,5,2,11,3,False,False,False,False
71,C_NO_SEMANTIC_CRITIC,4,4,1,377adca9a44255516b37a5ecefe46990b4d926edc217262b947d6050a5907208,51bd9cbbdff29cab5f17e0cd9666fae364ae62725e639843ad8e52f13ae55600,5,0,5,2,18,4,2,2,2,0,2,10,6,4,2,2,4,14,7,True,False,False,False
71,C_NO_SEMANTIC_CRITIC,5,5,2,51bd9cbbdff29cab5f17e0cd9666fae364ae62725e639843ad8e52f13ae55600,8da0c23b9c6a27b2f7e7ef99e0b42121ec49351763b9bd21b494198d0279b634,2,0,2,0,14,3,1,2,2,0,2,10,2,8,2,1,3,11,4,True,False,False,False
71,C_NO_SEMANTIC_CRITIC,6,6,2,8da0c23b9c6a27b2f7e7ef99e0b42121ec49351763b9bd21b494198d0279b634,3abc7a3ff05c7fe2a5ba3b19ae273c6bb0095bde011f4fb8185d848a338f76d7,1,0,1,-1,0,1,3,-2,2,2,0,6,7,-1,2,2,1,4,6,True,True,False,False
