seed,arm,update_index,parent_team_hash,target_member,target_selection_rank,candidate_id,candidate_stage,source_slot,generation_key,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,selected_as_branch_winner,winner,branch_rank,cell_rank
59,W1_TOP2,6,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,4,2,cb07d167e54c0f8b3d94e12c54a5c4ca48dd3f3d869d18da7af4d078330ef349,source,2,5d3f343c50f0596d9ff3d60720dea9b51bc3df514e95054d2168f26c877c0250,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-7,0,0,0,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,1ce1f3fac148cf15c5e61304e20223ab67e78a034be87e3cebf00075ac33db1a,revision,1,dd995e36f386009988025e25049839bbd6fc98ce9596655c4f10a426d90d46a4,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-16,3,3,0,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,32f9c54d753e7b7cfe5c7f3fde9643c721bbd71db75330e422d2bcc2ac6f513a,revision,2,824d28f9d6109bcc40b9010982de86e0a0707b9ff3b015e33cd0e379e251d698,True,False,rejected,['target_regression'],-1,5,3,2,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,49e5f9b7e802c3ac297757304ba5b5320003f5d3a75c0fc3507f31470bf7812a,source,1,3165be9fed019662784f465a85e1668052dfc22635431c77cdfcbf2ed883a89e,True,False,rejected,['target_regression'],-4,4,2,2,False,False,NA,NA
59,W1_TOP2,7,c29bcc176b830c1fdf1627ba764cbec2b928447ee0f3ec35691ad6c4e5ccad09,1,2,e97371a6d5c2b99f33ba8d0b6e56dcf83a6ac9d3533ab765ed3e391471f9b03d,source,2,dbe35780654f7bbf4a04e322d7c79569c24cab7d673e40ada8c7595d7dc29fbc,True,False,rejected,['target_regression'],-6,3,2,1,False,False,NA,NA
59,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,9305aed5371f0478a803b57267d8db74a1a82b8f275fabda1b1a5cb6ed65d247,revision,1,1ffeb099c3ec7399d1e0ebcc7b32e977a0dc6905212868f35a313e611e5d1a87,True,True,passed,[],1,0,0,0,False,False,2,NA
59,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,bc0d8297ded0dc8e4891233708b0d0eefad673dfe0dc18d6f8ac011debc7531a,revision,2,eec61930a645ec90baad6c92bfda66c6cc9a38499183b414c19feecb6258bbe9,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-9,0,0,0,False,False,NA,NA
59,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,c2a4368552689850a78da5e20d667768b3ba94f9a187c1ff2bd6d34fa54112bc,source,1,5bf50328196f195c65b6785d6abe67be0a66b53db5b741383e22673095ca6761,True,True,passed,[],1,0,0,0,True,True,1,1
59,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,2,1,ee53dc765cfb83d049a90b25aae5ea4088c253e11e65f5366a0d35603f455ab5,source,2,c73a239b6ad8941c857bf431e72b704555f6ce851e5ce03eeb7f6f82d89d7dac,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-5,0,0,0,False,False,NA,NA
59,HYBRID_BASE,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,3,2,81c38118e1719cb6549374e398253c8ffc086b7c5419f771c80a1f89f557fd83,source,1,8d24557455d7015cb2e77264fbbe68fe89bbb5958ab90a8890196b74a86ad363,True,True,passed,[],3,0,0,0,False,False,4,NA
59,HYBRID_BASE,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,3,2,9b54bc4a79f40aca6451e359be5ad843997f90d405af7556431ed29af14872d1,revision,1,c2df3f1e8fdf9492746d6ee5ef494c41573809801e028142a43f82ae1a173727,True,True,passed,[],7,0,0,0,True,True,1,1
59,HYBRID_BASE,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,3,2,c17c4a8a53084cd15990e4f7ab14aa95e1f076a7be07a3b8c552ba43034708f3,source,2,3916db7f61f962ace82c5451c3c9959535550a0758121d9754648d4c691d1242,True,True,passed,[],3,0,0,0,False,False,3,NA
59,HYBRID_BASE,2,135637472bf52cf2cf0708dc0c7844b5d6399d2e4f59e414bcc5bc089b31b254,3,2,cd35d247dcefa82b56f88c262e88aee64a7244d08b24831efc59bf0dcd0aa655,revision,2,07b3f9e9461d9484636f474fb2016da4f7f740ffd3d8c9ce14fcb242773baa9e,True,True,passed,[],3,0,0,0,False,False,2,NA
