seed,arm,example_id_hash,initial_G,initial_H,initial_M,first_0_to_1_state,first_supporting_member,later_1_to_2_state,later_supporting_member,later_2_to_3_state,later_2_to_3_supporting_member,first_vote_conversion_state,final_G,final_H,final_M,persistent_singleton,cross_member_accumulation,margin_improved,margin_unchanged,margin_worsened,min_margin,max_margin,final_margin,wrong_coalition_decreased,wrong_coalition_unchanged,wrong_coalition_increased,followup_opportunity_present,followup_targeted,followup_successful,followup_case
60,HYBRID_BASE,979681b1a557ac0030a3e215ffb3b6e937f53a44b74fadb491738c0353e87411,0,5,-5,2,2,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,B_TARGETED_INFEASIBLE
60,HYBRID_BASE,cebf2b78a15061e8dca548bc5dc2629433618f41192e52b720b8647c8e585058,0,5,-5,1,3,2,2,NA,NA,NA,2,3,-1,False,True,True,False,False,-3,-1,-1,True,False,False,True,True,True,D_SUCCESSFUL
61,W1_TOP2,024dc4509549a4c6af93432fa503efffb14204e0936eea504604f4482ea6a47b,0,5,-5,2,1,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,W1_TOP2,22c0ba5ad8e9739b31ae0b64bee01a9e573492e4734295087f650669b8d5cd0a,0,5,-5,2,1,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,W1_TOP2,5170e473b609bc29b0cb6b6a1349275f7e6a16d7ba0ae355ba53b28d4796faf9,0,5,-5,2,1,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,W1_TOP2,5dd55d1bf901cf2bde583dcf74edb9490a34477bc0c588a2683b3846daa28427,0,5,-5,2,1,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,W1_TOP2,813ca574af8f865e2c976ff8512d182af3a39255e0b3fda33ab2d8182a80e4ba,0,5,-5,1,2,3,3,NA,NA,NA,2,3,-1,False,True,True,False,False,-3,-1,-1,True,False,False,True,True,True,D_SUCCESSFUL
61,W1_TOP2,979681b1a557ac0030a3e215ffb3b6e937f53a44b74fadb491738c0353e87411,0,5,-5,3,3,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,False,False,False,NO_FOLLOWUP_OPPORTUNITY
61,W1_TOP2,cebf2b78a15061e8dca548bc5dc2629433618f41192e52b720b8647c8e585058,0,5,-5,1,2,2,1,3,3,3,3,2,1,False,True,True,False,False,-3,1,1,True,False,False,True,True,True,D_SUCCESSFUL
61,HYBRID_BASE,00561ca3ce843fc7872c655dfcfd3ae22c79412e9297ea3858600203959b8d16,0,5,-5,3,4,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,HYBRID_BASE,024dc4509549a4c6af93432fa503efffb14204e0936eea504604f4482ea6a47b,0,5,-5,3,4,NA,NA,NA,NA,NA,1,4,-3,True,False,False,True,False,-3,-3,-3,False,True,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,HYBRID_BASE,21efeba1a342f49989df2fb49130235d01e7aa4ae9d7c195a07822b4f5d80b9c,0,5,-5,1,3,3,4,NA,NA,NA,2,3,-1,False,True,True,False,False,-3,-1,-1,True,False,False,True,True,True,D_SUCCESSFUL
61,HYBRID_BASE,5170e473b609bc29b0cb6b6a1349275f7e6a16d7ba0ae355ba53b28d4796faf9,0,5,-5,2,4,NA,NA,NA,NA,NA,0,5,-5,False,False,False,False,True,-5,-3,-5,False,False,True,True,True,False,C_FEASIBLE_NO_DEEPENING
61,HYBRID_BASE,813ca574af8f865e2c976ff8512d182af3a39255e0b3fda33ab2d8182a80e4ba,0,5,-5,1,3,4,2,NA,NA,NA,2,3,-1,False,True,True,False,False,-3,-1,-1,True,False,False,True,True,True,D_SUCCESSFUL
61,HYBRID_BASE,979681b1a557ac0030a3e215ffb3b6e937f53a44b74fadb491738c0353e87411,0,5,-5,1,3,NA,NA,NA,NA,NA,1,3,-2,True,False,True,False,False,-3,-2,-2,True,False,False,True,True,False,C_FEASIBLE_NO_DEEPENING
61,HYBRID_BASE,cebf2b78a15061e8dca548bc5dc2629433618f41192e52b720b8647c8e585058,0,5,-5,1,3,2,4,4,2,4,3,2,1,False,True,True,False,False,-3,1,1,True,False,False,True,True,True,D_SUCCESSFUL
