source_candidate_hash,seed,f1_targeting_retention,f2_targeting_retention,f1_collateral_loss,f2_collateral_loss,f1_common_safe,f2_common_safe,f1_critical_net,f2_critical_net,f1_oracle_delta,f2_oracle_delta,f1_vote_net,f2_vote_net,f1_changed,f2_changed
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,48,1.0,1.0,16,16,0,0,4,4,4,4,0,0,1,1
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,48,0.0,1.0,12,16,0,0,4,2,4,2,0,0,1,1
2249467342abe57b0f01f7aaa251153ceeb91f0bfddf1b030e1fb4e862b4d20f,48,1.0,1.0,10,8,0,1,3,6,1,1,2,5,1,1
c06c7420a7252455b29066ba2990a4a749d7893f86dffd591a89ddce96438481,48,1.0,1.0,13,7,1,1,11,6,6,1,5,5,1,1
62c02b9dbd25d08c910dbc1d672926981279763d16e1bbdff1b2efac85fc14d2,50,0.5,1.0,18,10,0,0,5,1,5,1,0,0,1,1
d70344b3a14adafd45fb4ff7a265928e27426c9ca11f7480004399b1f4ffa6a3,50,0.6666666666666666,1.0,10,11,0,0,3,1,3,1,0,0,1,1
18289914279d8f2c62ef67d95ef79055e551ca221ea2318ee9b15e0cbcbb131f,50,0.3333333333333333,1.0,4,9,1,1,5,6,0,0,5,6,1,1
