case_id,conversion_responsibility_gain,coverage_responsibility_gain,responsibility_repair_candidate_count,responsibility_repair_rate,responsibility_residual_gain_count,responsibility_residual_loss_count,seed,variant
seed48_structural_parent1_target0,0,0,0,0.0,0,0,48,g0_fixed_target_generic
seed48_structural_parent1_target0,2,0,2,1.0,2,0,48,m20_current_v15
seed48_structural_parent2_target4,3,0,2,1.0,3,0,48,m20_current_v15
seed48_structural_parent2_target4,4,0,2,1.0,4,0,48,g0_fixed_target_generic
seed49_structural_parent1_target1,0,0,0,0.0,0,0,49,g0_fixed_target_generic
seed49_structural_parent1_target1,3,0,2,1.0,3,0,49,m20_current_v15
seed49_structural_parent2_target2,8,0,2,1.0,8,0,49,m20_current_v15
seed49_structural_parent2_target2,0,0,0,0.0,0,0,49,g0_fixed_target_generic
seed50_structural_parent1_target3,0,0,0,0.0,0,0,50,g0_fixed_target_generic
seed50_structural_parent1_target3,5,0,2,1.0,5,0,50,m20_current_v15
seed50_structural_parent2_target4,6,0,2,1.0,6,0,50,m20_current_v15
seed50_structural_parent2_target4,0,0,0,0.0,0,0,50,g0_fixed_target_generic
seed51_structural_parent1_target2,2,0,1,0.5,2,0,51,g0_fixed_target_generic
seed51_structural_parent1_target2,0,0,0,0.0,0,0,51,m20_current_v15
seed51_structural_parent2_target1,4,0,2,1.0,4,0,51,m20_current_v15
seed51_structural_parent2_target1,0,0,0,0.0,0,0,51,g0_fixed_target_generic
