seed,left,right,vote_accuracy_delta_right_minus_left,g_min_delta_right_minus_left,g_sum_delta_right_minus_left
53,G-Matched,R-M20,0.026666666666666616,0,-2
53,R-M20,R-M2F,0.026666666666666727,0,9
53,G-Matched,R-M2F,0.053333333333333344,0,7
54,G-Matched,R-M20,0.039999999999999925,0,-6
54,R-M20,R-M2F,0.026666666666666727,0,4
54,G-Matched,R-M2F,0.06666666666666665,0,-2
55,G-Matched,R-M20,0.10666666666666669,0,13
55,R-M20,R-M2F,-0.040000000000000036,0,-3
55,G-Matched,R-M2F,0.06666666666666665,0,10
