method,seed,optimization_unit,units,commits,solver_calls,optimizer_calls,input_tokens,output_tokens,total_tokens,solver_token_fraction,optimizer_token_fraction,tokens_per_unit,tokens_per_1pp_validation_gain,comparability
MARS,75,iteration,15,,800,319,,,1183838,0.7088630370033737,0.2911369629966262,78922.53333333334,98653.16666666667,DESCRIPTIVE_ONLY
MARS,76,iteration,12,,650,251,,,933937,0.7047509628593792,0.29524903714062084,77828.08333333333,116742.125,DESCRIPTIVE_ONLY
MARS,77,iteration,10,,550,235,,,833252,0.6807736435076064,0.31922635649239367,83325.2,,DESCRIPTIVE_ONLY
GEPA,75,proposal,27,,862,27,1559327,321508,1880835,0.881005510850234,0.11899448914976593,69660.55555555556,470208.75,DESCRIPTIVE_ONLY
GEPA,76,proposal,12,,272,12,318015,104990,423005,0.8275292254228673,0.17247077457713267,35250.416666666664,35250.416666666664,DESCRIPTIVE_ONLY
GEPA,77,proposal,27,,862,27,1137559,313004,1450563,0.8979120520790893,0.10208794792091071,53724.555555555555,120880.25,DESCRIPTIVE_ONLY
Diversity,75,update_opportunity,20,6,,,,,,,,,,DESCRIPTIVE_ONLY
Diversity,76,update_opportunity,17,8,9205,219,3859383,2624932,6484315,0.946716653956509,0.05328334604349105,381430.29411764705,648431.5,DESCRIPTIVE_ONLY
Diversity,77,update_opportunity,16,5,6004,210,2666514,1516119,4182633,0.9181780949942298,0.08182190500577025,261414.5625,522829.125,DESCRIPTIVE_ONLY
