run_root,run_dir,task,setting,seed,epoch,step,agent_id,update_attempt_id,candidate_id,parent_id,candidate_generation,parent_generation,candidate_pool_source,candidate_source,generation_batch_type,parent_is_current_active,parent_is_existing_beam,parent_is_nonactive_beam,candidate_prompt_hash,parent_prompt_hash,active_prompt_before_hash,initial_prompt_hash,candidate_char_length,parent_char_length,candidate_word_count,parent_word_count,prompt_change_ratio_parent,prompt_change_ratio_active_before,prompt_change_ratio_initial,parent_to_initial_ratio,active_before_to_initial_ratio,distance_reconstruction_available,distance_reconstruction_reason,agent_accept_count_before,prompt_max_change_ratio,prompt_large_shift_warmup_accepts,prompt_large_shift_min_vote_delta,large_shift,large_shift_warmup_exempt,large_shift_supported,large_shift_vote_support_passed,large_shift_accuracy_support_passed,large_shift_vote_loss_support_passed,large_shift_pivotal_loss_support_passed,large_shift_shared_error_support_passed,mechanism_contract_passed,behavior_cycle_guard_passed,prompt_trust_region_passed,error_dependence_guard_passed,accuracy_guard_passed,invalid_guard_passed,exact_prompt_cycle,matched_behavior_archive,max_behavior_cycle_similarity,behavior_cycle_overlap,rejection_reason,vote_delta,accuracy_delta,vote_gain_rate,vote_loss_rate,vote_margin_delta,pivotal_rescue_rate,pivotal_loss_rate,shared_error_rescue_score,shared_error_creation_score,boundary_shared_error_net_gain,optimizer_schema_valid,optimizer_redundant_filtered,original_accuracy_invalid_dependence_feasible,trajectory_feasible,pareto_feasible,pareto_rank,pareto_selected,retained_in_beam,became_active_top1,active_prompt_changed,candidate_outcome,preserved_mechanism_count,modified_mechanism_present,target_residual_family,proposal_metadata_available,behavior_transition_l1
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g2_a4_p26b37815e849_1_435e1a1ff6a3,g0_00bcb3ee9efb,2,0,optimizer,teacher_critic_student,near_boundary_shared_error_repair,True,True,False,15c4c011611068f286062880adace6a2c37b988b2db713cb9697810342bdd888,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.1990632318501171,0.1990632318501171,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,False,True,True,False,,True,True,False,False,True,False,,0.0,0,not_selected,0.0,-0.041666666666666685,0.0,0.0,-0.016666666666666607,0.0,0.0,0.0,0.041666666666666664,-0.08333333333333333,True,False,False,False,False,,False,False,False,True,accuracy_guard_rejected,,,,False,0.9
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g2_a4_p88e601b29ecf_0_c14ae55f9000,g1_a4_p26b37815e849_0_03b3b3161885,2,1,optimizer,teacher_critic_student,pivotal_error_repair,False,True,True,9265fea28ad00ed2056af7dcd307c1fc00f0f1ec9dd6727ab336d6ccd7b8d7e2,fce0569af64b30aaa2ff9d8875f1cddc57fe30cdd5d836c9533582e3eac1ab63,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,,,,0.19715808170515092,,,,0.0,False,"missing_full_prompt:candidate_to_active,candidate_to_initial,parent_to_initial",0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.05208333333333333,True,False,True,True,True,1,True,True,False,True,retained_nonactive_beam,,,,False,0.20625
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g2_a4_p88e601b29ecf_1_7cf2c6e7e7f3,g1_a4_p26b37815e849_0_03b3b3161885,2,1,optimizer,teacher_critic_student,near_boundary_shared_error_repair,False,True,True,adbeb3e8360569ec0aa59deb3e44e3759f2b32cfe293523d3f79357dbed696d2,fce0569af64b30aaa2ff9d8875f1cddc57fe30cdd5d836c9533582e3eac1ab63,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,,,,0.13580246913580252,,,,0.0,False,"missing_full_prompt:candidate_to_active,candidate_to_initial,parent_to_initial",0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,not_selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,2,False,False,False,True,pareto_not_retained,,,,False,0.0
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g2_a4_p94d44d79f34c_0_9c69cad29c76,g1_a4_p26b37815e849_1_1dc863aeea83,2,1,optimizer,teacher_critic_student,pivotal_error_repair,False,True,True,e1aa48c76e2822a4656f43c2894d490e7135b3a7ca5d32cd354400558ea125ae,99c68bbf07351cb2bbbbedc7a35dfb9795901be88477abe9c11b297c72b20b67,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,,,,0.054108216432865786,,,,0.0,False,"missing_full_prompt:candidate_to_active,candidate_to_initial,parent_to_initial",0,0.45,2,0.02,False,False,False,False,False,True,True,True,,True,True,True,False,True,False,,0.0,0,not_selected,0.0,-0.041666666666666685,0.0,0.0,-0.016666666666666607,0.0,0.0,0.08333333333333333,0.041666666666666664,0.04166666666666666,True,False,False,False,False,,False,False,False,True,accuracy_guard_rejected,,,,False,1.3125
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g2_a4_p94d44d79f34c_1_b868350c02fd,g1_a4_p26b37815e849_1_1dc863aeea83,2,1,optimizer,teacher_critic_student,near_boundary_shared_error_repair,False,True,True,f427c0b7618f4a93ef0f84b421daee060b1b8f8ad14506045bfc76478b452a93,99c68bbf07351cb2bbbbedc7a35dfb9795901be88477abe9c11b297c72b20b67,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,,,,0.08349514563106797,,,,0.0,False,"missing_full_prompt:candidate_to_active,candidate_to_initial,parent_to_initial",0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.08333333333333331,0.0,0.0,0.03333333333333338,0.0,0.0,0.08333333333333333,0.0,0.125,True,False,True,True,True,0,True,True,True,True,active_top1,3,,,True,0.1125
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g0_00bcb3ee9efb,,0,,existing_beam,existing_beam,,True,True,False,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,171,171,26,26,0.0,0.0,0.0,0.0,0.0,True,,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,True,True,False,True,retained_nonactive_beam,,,,False,0.0
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g1_a4_p26b37815e849_0_03b3b3161885,g0_00bcb3ee9efb,1,0,existing_beam,existing_beam,,True,True,False,fce0569af64b30aaa2ff9d8875f1cddc57fe30cdd5d836c9533582e3eac1ab63,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.17788461538461542,0.17788461538461542,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,False,False,False,True,existing_beam,,,,False,0.0
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,20,4,eaa78df8f054_e1_s20_a4,g1_a4_p26b37815e849_1_1dc863aeea83,g0_00bcb3ee9efb,1,0,existing_beam,existing_beam,,True,True,False,99c68bbf07351cb2bbbbedc7a35dfb9795901be88477abe9c11b297c72b20b67,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.17788461538461542,0.17788461538461542,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,,True,True,True,True,True,False,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,2,False,False,False,True,existing_beam,,,,False,0.0
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,30,1,eaa78df8f054_e1_s30_a1,g1_a1_p26b37815e849_0_c16ef6c15da4,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,pivotal_error_repair,True,True,False,50dc628d4923ae2e7cf57e049b2fcd14af0e54bf7e3ca516a167435e75dd0d75,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.39250493096646943,0.39250493096646943,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.041666666666666685,0.0,0.0,0.016666666666666663,0.0,0.0,0.041666666666666664,0.0,0.0625,True,False,True,True,True,0,True,True,False,True,retained_nonactive_beam,,,,False,0.06923076923076923
shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,D:\myx\grade_one\experiments\multi_agent_diversity\runs_disambiguation_v7_formal_3seed_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,1,30,1,eaa78df8f054_e1_s30_a1,g1_a1_p26b37815e849_1_2ae4fca0daf3,g0_00bcb3ee9efb,1,0,optimizer,teacher_critic_student,near_boundary_shared_error_repair,True,True,False,1ad9d28ae41a9165b4ef39598227199fe24a0beee0bef299b5c7d9efaa283bf8,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,b5a173b7c570bcba287a93de26d72949b641367cb3a9b478125130551ac3b82a,,171,,26,0.37777777777777777,0.37777777777777777,,0.0,0.0,False,missing_full_prompt:candidate_to_initial,0,0.45,2,0.02,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,0.0,0,,0.0,0.041666666666666685,0.0,0.0,0.016666666666666684,0.0,0.0,0.041666666666666664,0.0,0.0625,True,False,True,True,True,0,True,True,True,True,active_top1,4,,,True,0.06923076923076923
