policy,solver_calls_saved,tokens_saved,historical_commits_retained,historical_winning_candidates_lost,status,interpretation
P1_valid_only_pruning,,,,,NOT_EVALUABLE_ZERO_API_UNINDEXED_SOLVER_LEDGER,RETROSPECTIVE_COST_LOWER_BOUND_ONLY
P2_feasibility_early_stop,,,,,NOT_EVALUABLE_ZERO_API_UNINDEXED_SOLVER_LEDGER,RETROSPECTIVE_COST_LOWER_BOUND_ONLY
P3_one_stage_team_evaluation,,,,,NOT_EVALUABLE_ZERO_API_UNINDEXED_SOLVER_LEDGER,RETROSPECTIVE_COST_LOWER_BOUND_ONLY
P4_top_k_expensive_rollout,,,,,NOT_EVALUABLE_ZERO_API_UNINDEXED_SOLVER_LEDGER,RETROSPECTIVE_COST_LOWER_BOUND_ONLY
