method,seeds,solver_calls,optimizer_calls,total_tokens,nominal_unit_warning
MARS,75-77,2000,805,2951027,NOT_DIRECTLY_COMPARABLE
GEPA,75-77,1996,66,3754403,NOT_DIRECTLY_COMPARABLE
Diversity,76-77,15209,429,10666948,NOT_DIRECTLY_COMPARABLE
