seed,update_index,agent_id,selected,direct_flip,near_margin,pure_coverage,committed,target_member_delta,mean_member_delta,vote_delta,association_scope
76,15,1,0,4,0,0,0,,,,ASSOCIATIONAL
76,15,2,0,0,0,4,0,,,,ASSOCIATIONAL
76,15,3,0,0,5,0,0,,,,ASSOCIATIONAL
76,15,4,1,4,0,0,0,,,,ASSOCIATIONAL
76,16,0,0,3,0,0,0,,,,ASSOCIATIONAL
76,16,1,1,4,0,0,0,,,,ASSOCIATIONAL
76,16,2,0,0,0,4,0,,,,ASSOCIATIONAL
76,16,3,0,0,5,0,0,,,,ASSOCIATIONAL
76,16,4,1,4,0,0,0,,,,ASSOCIATIONAL
77,0,0,0,0,0,11,1,0.14,0.028,0.0,ASSOCIATIONAL
77,0,1,0,0,0,10,1,0.14,0.028,0.0,ASSOCIATIONAL
77,0,2,1,0,0,10,1,0.14,0.028,0.0,ASSOCIATIONAL
77,0,3,1,0,0,11,1,0.14,0.028,0.0,ASSOCIATIONAL
77,0,4,0,0,0,11,1,0.14,0.028,0.0,ASSOCIATIONAL
77,1,0,0,0,0,0,0,,,,ASSOCIATIONAL
77,1,1,0,0,0,0,0,,,,ASSOCIATIONAL
77,1,2,0,0,0,0,0,,,,ASSOCIATIONAL
77,1,3,1,0,0,26,0,,,,ASSOCIATIONAL
77,1,4,1,0,0,0,0,,,,ASSOCIATIONAL
77,2,0,0,0,0,0,1,0.17,0.034,0.0,ASSOCIATIONAL
77,2,1,1,0,0,0,1,0.17,0.034,0.0,ASSOCIATIONAL
77,2,2,0,0,0,0,1,0.17,0.034,0.0,ASSOCIATIONAL
77,2,3,1,0,0,26,1,0.17,0.034,0.0,ASSOCIATIONAL
77,2,4,0,0,0,0,1,0.17,0.034,0.0,ASSOCIATIONAL
77,3,0,1,3,0,0,1,0.25,0.05,0.07,ASSOCIATIONAL
77,3,1,0,0,0,0,1,0.25,0.05,0.07,ASSOCIATIONAL
77,3,2,0,4,0,0,1,0.25,0.05,0.07,ASSOCIATIONAL
77,3,3,0,0,0,17,1,0.25,0.05,0.07,ASSOCIATIONAL
77,3,4,1,3,0,0,1,0.25,0.05,0.07,ASSOCIATIONAL
77,4,0,1,3,0,0,0,,,,ASSOCIATIONAL
77,4,1,0,0,1,0,0,,,,ASSOCIATIONAL
77,4,2,1,8,0,0,0,,,,ASSOCIATIONAL
77,4,3,0,0,0,14,0,,,,ASSOCIATIONAL
77,4,4,0,8,0,0,0,,,,ASSOCIATIONAL
77,5,0,1,3,0,0,1,0.15,0.03,0.06,ASSOCIATIONAL
77,5,1,0,0,1,0,1,0.15,0.03,0.06,ASSOCIATIONAL
77,5,2,1,8,0,0,1,0.15,0.03,0.06,ASSOCIATIONAL
77,5,3,0,0,0,14,1,0.15,0.03,0.06,ASSOCIATIONAL
77,5,4,0,8,0,0,1,0.15,0.03,0.06,ASSOCIATIONAL
77,6,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,6,1,0,0,0,0,0,,,,ASSOCIATIONAL
77,6,2,0,9,0,0,0,,,,ASSOCIATIONAL
77,6,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,6,4,1,8,0,0,0,,,,ASSOCIATIONAL
77,7,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,7,1,0,0,0,0,0,,,,ASSOCIATIONAL
77,7,2,1,9,0,0,0,,,,ASSOCIATIONAL
77,7,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,7,4,0,8,0,0,0,,,,ASSOCIATIONAL
77,8,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,8,1,0,0,0,0,0,,,,ASSOCIATIONAL
77,8,2,1,9,0,0,0,,,,ASSOCIATIONAL
77,8,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,8,4,0,8,0,0,0,,,,ASSOCIATIONAL
77,9,0,1,4,0,0,1,0.24,0.048,0.11,ASSOCIATIONAL
77,9,1,0,0,0,0,1,0.24,0.048,0.11,ASSOCIATIONAL
77,9,2,0,9,0,0,1,0.24,0.048,0.11,ASSOCIATIONAL
77,9,3,0,0,0,11,1,0.24,0.048,0.11,ASSOCIATIONAL
77,9,4,1,8,0,0,1,0.24,0.048,0.11,ASSOCIATIONAL
77,10,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,10,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,10,2,1,3,0,0,0,,,,ASSOCIATIONAL
77,10,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,10,4,0,5,0,0,0,,,,ASSOCIATIONAL
77,11,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,11,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,11,2,1,3,0,0,0,,,,ASSOCIATIONAL
77,11,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,11,4,0,5,0,0,0,,,,ASSOCIATIONAL
77,12,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,12,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,12,2,0,3,0,0,0,,,,ASSOCIATIONAL
77,12,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,12,4,1,5,0,0,0,,,,ASSOCIATIONAL
77,13,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,13,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,13,2,1,3,0,0,0,,,,ASSOCIATIONAL
77,13,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,13,4,0,5,0,0,0,,,,ASSOCIATIONAL
77,14,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,14,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,14,2,1,3,0,0,0,,,,ASSOCIATIONAL
77,14,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,14,4,0,5,0,0,0,,,,ASSOCIATIONAL
77,15,0,1,4,0,0,0,,,,ASSOCIATIONAL
77,15,1,0,0,3,0,0,,,,ASSOCIATIONAL
77,15,2,0,3,0,0,0,,,,ASSOCIATIONAL
77,15,3,0,0,0,11,0,,,,ASSOCIATIONAL
77,15,4,1,5,0,0,0,,,,ASSOCIATIONAL
