bucket,solver_calls,tokens,status
A_committed_winner_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
B_nonwinning_feasible_candidate_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
C_valid_infeasible_candidate_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
D_invalid_candidate_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
E_no_commit_opportunity_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
F_duplicated_repeated_evaluation_compute,,,NOT_RECOVERABLE_UNINDEXED_LEDGER
G_refresh_bookkeeping_compute,0,0,DETERMINISTIC_LOCAL
