seed,update_index,case_hash,G_before,G_after,before_bucket,after_bucket,transition_kind,vote_before,vote_after
76,0,16d05f3cee7428583825abbe11be3ac60e4732630add5ad583ec3a6e8ea5f4c6,5,5,G>=3,G>=3,other,1,1
76,0,18a8f9697a4e968acfc90115b3e9dfba0161243a5411e87e076e8e1b056493af,5,5,G>=3,G>=3,other,1,1
76,0,193d14b7050758fc99ba2d05bb86fb5b0fc650052cddf073bd1f54c71a52fb79,5,5,G>=3,G>=3,other,1,1
76,0,1a3a5d3f89ee4286b298ad85744c0653b8a14735cdfbadfe9e594f3d84443752,0,0,G=0,G=0,other,0,0
76,0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,5,5,G>=3,G>=3,other,1,1
76,0,30d1c8a11d6c3abe5d3c919ad986f07d044dbb2d632cf935c6ef4244ac0cb4f5,0,1,G=0,G=1,newly_covered,0,0
76,0,349c6e4a5d3d97876de1bed28c9a1ff0b2d2952a63d45f15f362932e5c62db06,5,5,G>=3,G>=3,other,1,1
76,0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,5,5,G>=3,G>=3,other,1,1
76,0,38829bd4db069f2e3a10c6dc7e12a3774d887cddc24449c5d5449c6674715788,5,4,G>=3,G>=3,other,1,1
76,0,3ce46e376ea8ae439bb5745e2667ad9c935e3cfce4aa14a943a0135b6d64a34f,0,1,G=0,G=1,newly_covered,0,0
76,0,419c38b4ba783bfc4238b03729f893204d1444673f9a450264ca9043a8176d0b,5,5,G>=3,G>=3,other,1,1
76,0,4edf7bcca12a8a169fe1e33dab1b5652d39a731c0e9f89503f8f44489e431d9d,5,5,G>=3,G>=3,other,1,1
76,0,5170e473b609bc29b0cb6b6a1349275f7e6a16d7ba0ae355ba53b28d4796faf9,5,5,G>=3,G>=3,other,1,1
76,0,541a81feeaf06f656d0b8ccd1cf9561c45a6a7cded674247c0e7272b41a8a52d,5,5,G>=3,G>=3,other,1,1
76,0,54aabb6c0af18de3668ce909cd41f04e7174b1735d8da35faac243969b16e28c,5,4,G>=3,G>=3,other,1,1
76,0,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,G=0,G=1,newly_covered,0,0
76,0,57aed234596f8f1788f53a5629ec0dc114496e104feb966997fb1456be0ad70a,0,0,G=0,G=0,other,0,0
76,0,5aa5eabe5e5486223cbd68106c628f908b0b2651e403fbbaffe649fbad3380eb,5,5,G>=3,G>=3,other,1,1
76,0,5f0242867b353baa8f0ba58b50b70f19261119a72643c4c0008ab77d515b392d,5,5,G>=3,G>=3,other,1,1
76,0,5fc0c380ebaf73e7770021ef1253d6d47c369509c390515245b02de72bb3a3f1,5,4,G>=3,G>=3,other,1,1
76,0,62409362a1bac86ef51f659741b05dd9fc029376f1efef98b2e9d2593b715f27,5,5,G>=3,G>=3,other,1,1
76,0,642037de3dbd9f4976da7adca780692a6794973b3eda39da85f7c62faeff5834,5,4,G>=3,G>=3,other,1,1
76,0,6a5e390c06bbc75192f83c92a376b7eb717c48b0de5e44947d34d8f131bc1b1e,0,0,G=0,G=0,other,0,0
76,0,6fa5ee91395b1d1821a85c5633292d352b239baf9e4054f8c9dc4eab9fcfdbe6,0,1,G=0,G=1,newly_covered,0,0
76,0,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,0,1,G=0,G=1,newly_covered,0,0
76,0,7b6ae7cfd6a146cb707034f56239309607291c5ccec05746eaa2603af33d4c6f,0,1,G=0,G=1,newly_covered,0,0
76,0,7d2f43d26ab0611f363f94cba746995b986c979de9665a5f34a240ec1eefbe39,0,1,G=0,G=1,newly_covered,0,0
76,0,8689dd2f6bc4596ee682822a1d82fb586bd5a8c4444987b36c0ca6292b512602,5,5,G>=3,G>=3,other,1,1
76,0,88ec4eabc6a1c35a93d956128678edc3e9b57a532e89fd47aaf5477d3ed36db0,0,1,G=0,G=1,newly_covered,0,0
76,0,8e3ca52bf0691d183ab3c974e881d42309c7b20e8bfc56d9e0842431a9350a23,5,5,G>=3,G>=3,other,1,1
76,0,91e780478a119714a4cdd8bb4ecf8b91c54899826c61e98181f2081654aa45d0,0,0,G=0,G=0,other,0,0
76,0,9df0bc490f9cce42db9952b02ffbf57b27f49b0413fd0de51b4cceb12e32ab9e,0,1,G=0,G=1,newly_covered,0,0
76,0,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,0,1,G=0,G=1,newly_covered,0,0
76,0,b0e1cd597bbe93388c904ea21d6cb9127209e8d692ed0d4857144d6f7aca4582,5,5,G>=3,G>=3,other,1,1
76,0,b235d916aae1c1d8603d3b41a46cba63bc8b0886fcf5abefff88fccb6ab502be,5,5,G>=3,G>=3,other,1,1
76,0,b3271f14c417a14669867b20f3029e0137703b57ea87d4953fd0d3cc5137962e,5,5,G>=3,G>=3,other,1,1
76,0,b6e74902855cead0f962991542a66c3f5c5fcf0cc4f97947e3aff7146455f066,5,5,G>=3,G>=3,other,1,1
76,0,b8dee9691a011f0e090fc9ea2b30273e3906c637f4c85c906fcf6b902645a94a,5,5,G>=3,G>=3,other,1,1
76,0,bf93eab7018c887760b53dcdf65392139af85b2b9d87ed35da8b2c58df7257e5,0,1,G=0,G=1,newly_covered,0,0
76,0,c71cafbaa8501253f35fe2c44c578c813cd743c92019dcdee3df64bd25acf526,5,4,G>=3,G>=3,other,1,1
76,0,c7cfcef52e4f3b05dd5ba8014557518b95190211373ff06889942aebe9af8fa4,0,0,G=0,G=0,other,0,0
76,0,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,5,5,G>=3,G>=3,other,1,1
76,0,e303c87c24d6e8314ba05b5c22267f67ad8bf2dbdcee161df5ae75e397feef32,0,0,G=0,G=0,other,0,0
76,0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,5,5,G>=3,G>=3,other,1,1
76,0,e900edf6c34c03dad91c415993a3d990a9ac51e6651f1834a370ed6b88271ebd,5,5,G>=3,G>=3,other,1,1
76,0,eaa56e803233e6f91d7c9d15c857370e40a8c6386da1aafa82f0f52416330257,5,5,G>=3,G>=3,other,1,1
76,0,f030e0805009d60a9288adb4be47ebe5f15d1f4b10f83d5d434f9609d13b61a4,5,5,G>=3,G>=3,other,1,1
76,0,f039c420e78404ff03ff216d25a34e192a50a9d8e927d289cc65655d4b003dbb,5,5,G>=3,G>=3,other,1,1
76,0,fa988bad87796a2b4d1c10346788374862445be61dfb69e2853a8ec10d94df02,5,5,G>=3,G>=3,other,1,1
76,0,ff77951ead20acedb613ba7b67c41bbb17397ac55bef240de03aaca43c4c2531,5,5,G>=3,G>=3,other,1,1
76,0,00561ca3ce843fc7872c655dfcfd3ae22c79412e9297ea3858600203959b8d16,0,1,G=0,G=1,newly_covered,0,0
76,0,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,5,5,G>=3,G>=3,other,1,1
76,0,024dc4509549a4c6af93432fa503efffb14204e0936eea504604f4482ea6a47b,0,0,G=0,G=0,other,0,0
76,0,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,5,5,G>=3,G>=3,other,1,1
76,0,0c91d68a9f1f9d551d3f0d95b69becfec9727d30cd36c2f344f96b5735f01336,0,1,G=0,G=1,newly_covered,0,0
76,0,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,0,0,G=0,G=0,other,0,0
76,0,0f0b0315639b5e146bf33284ae4310d669f69fb9a6007e83113cf1d2bd94fe94,0,0,G=0,G=0,other,0,0
76,0,138a463ad6ab47bc1df5b7480ddc584f53ad4bca5a464627f327eb5b8e326a6d,5,5,G>=3,G>=3,other,1,1
76,0,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,0,1,G=0,G=1,newly_covered,0,0
76,0,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,0,1,G=0,G=1,newly_covered,0,0
76,0,1c0f1040a2b851016580032d22b4118bb0e69a649cc18f4dbf4f78b4b171e41b,5,4,G>=3,G>=3,other,1,1
76,0,22c0ba5ad8e9739b31ae0b64bee01a9e573492e4734295087f650669b8d5cd0a,0,0,G=0,G=0,other,0,0
76,0,25bc24fa4de5569184adfcc1d623ce91ed889f31e2b8d70a09e8d631e423530e,5,5,G>=3,G>=3,other,1,1
