detail,hypothesis,seed56,seed57,seed58,status,supporting_seed_count
,H1,SUPPORT,NO_SUPPORT,NO_SUPPORT,NOT_SUPPORTED,1
,H2,NO_SUPPORT,NO_SUPPORT,NO_SUPPORT,NOT_SUPPORTED,0
,H3,NO_SUPPORT,SUPPORT,SUPPORT,SUPPORTED,2
,H4A,NO_SUPPORT,SUPPORT,SUPPORT,SUPPORTED,2
,H4B,NO_SUPPORT,NO_SUPPORT,NO_SUPPORT,NOT_SUPPORTED,0
,H5,NO_SUPPORT,NO_SUPPORT,NO_SUPPORT,NOT_SUPPORTED,0
