arm,commit_counts,commit_entropy,commit_gini,commit_max_share,commit_shares,no_actionable_updates,planned_updates,seed,target_counts,target_entropy,target_gini,target_max_share,target_shares,target_slots,target_switch_count
S1,"[1, 2, 0, 0, 0]",0.39548848910372325,0.6666666666666666,0.6666666666666666,"[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",0,8,56,"[3, 4, 3, 3, 3]",0.9954133073923868,0.05,0.25,"[0.1875, 0.25, 0.1875, 0.1875, 0.1875]",16,7
S2,"[0, 0, 2, 1, 1]",0.6460148371100896,0.5,0.5,"[0.0, 0.0, 0.5, 0.25, 0.25]",0,8,56,"[1, 2, 5, 5, 3]",0.9158830010682758,0.275,0.3125,"[0.0625, 0.125, 0.3125, 0.3125, 0.1875]",16,7
S1,"[1, 1, 1, 1, 1]",1.0000000000000002,0.0,0.2,"[0.2, 0.2, 0.2, 0.2, 0.2]",0,8,57,"[3, 3, 4, 3, 3]",0.9954133073923868,0.05,0.25,"[0.1875, 0.1875, 0.25, 0.1875, 0.1875]",16,7
S2,"[0, 0, 1, 1, 0]",0.43067655807339306,0.6,0.5,"[0.0, 0.0, 0.5, 0.5, 0.0]",0,8,57,"[3, 4, 2, 4, 3]",0.9822177815287606,0.125,0.25,"[0.1875, 0.25, 0.125, 0.25, 0.1875]",16,7
S1,"[1, 1, 1, 1, 1]",1.0000000000000002,0.0,0.2,"[0.2, 0.2, 0.2, 0.2, 0.2]",0,8,58,"[3, 3, 3, 4, 3]",0.9954133073923868,0.05,0.25,"[0.1875, 0.1875, 0.1875, 0.25, 0.1875]",16,7
S2,"[2, 0, 0, 0, 0]",-0.0,0.8,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0]",0,8,58,"[5, 3, 2, 3, 3]",0.9724056781360315,0.15,0.3125,"[0.3125, 0.1875, 0.125, 0.1875, 0.1875]",16,7
