contrast,seed,test_delta,train_delta,train_to_test_gap,train_to_validation_gap,validation_delta
S0_to_S1,56,-0.007999999999999896,0.0,0.007999999999999896,0.020000000000000018,-0.020000000000000018
S1_to_S2,56,0.05599999999999994,0.09333333333333338,0.03733333333333344,0.053333333333333344,0.040000000000000036
S2_to_S3,56,-0.04800000000000004,0.0,0.04800000000000004,0.08000000000000007,-0.08000000000000007
S3_to_S4,56,0.008000000000000007,-0.040000000000000036,-0.04800000000000004,-0.040000000000000036,0.0
S1_to_S4,56,0.015999999999999903,0.053333333333333344,0.03733333333333344,0.09333333333333338,-0.040000000000000036
S0_to_S1,57,0.05599999999999994,0.1466666666666666,0.09066666666666667,0.16666666666666663,-0.020000000000000018
S1_to_S2,57,-0.05599999999999994,-0.1466666666666666,-0.09066666666666667,-0.1266666666666666,-0.020000000000000018
S2_to_S3,57,0.02399999999999991,0.06666666666666665,0.04266666666666674,0.08666666666666667,-0.020000000000000018
S3_to_S4,57,0.008000000000000007,0.013333333333333308,0.005333333333333301,0.033333333333333326,-0.020000000000000018
S1_to_S4,57,-0.02400000000000002,-0.06666666666666665,-0.04266666666666663,-0.006666666666666599,-0.06000000000000005
S0_to_S1,58,0.039999999999999925,0.08000000000000007,0.04000000000000015,0.18000000000000005,-0.09999999999999998
S1_to_S2,58,-0.039999999999999925,-0.08000000000000007,-0.04000000000000015,-0.20000000000000007,0.12
S2_to_S3,58,0.03199999999999992,0.08000000000000007,0.048000000000000154,0.08000000000000007,0.0
S3_to_S4,58,0.0,0.0,0.0,0.0,0.0
S1_to_S4,58,-0.008000000000000007,0.0,0.008000000000000007,-0.12,0.12
