actionable_observations,agent_id,mean_B,mean_Dhat,mean_Shat,mean_active_lane_size,mean_dhat,mean_failure_count,mean_repairability_discount,mean_selected_W1_score,mean_service_portfolio_size,mean_wait,seed,selected_count
8,0,0.5,1.0,0.0,4.0,0.0,0.0,1.0,0.55,5.0,1.0,56,1
8,1,0.31666666666666665,0.5,0.2222222222222222,4.0,0.0,0.0,1.0,0.35000000000000003,4.5,0.6666666666666666,56,2
8,2,0.435,0.75,0.2,5.2,0.0,0.6,0.7666666666666666,0.3283333333333333,5.6,0.2,56,5
8,3,0.3,0.0,1.0,7.0,0.0,0.2,0.9,0.2783333333333333,7.0,0.16666666666666666,56,5
8,4,0.24444444444444444,0.0,0.8148148148148148,4.666666666666667,0.0,0.3333333333333333,0.8333333333333334,0.23055555555555554,4.666666666666667,0.7777777777777778,56,3
8,0,0.45555555555555555,0.4444444444444444,0.3333333333333333,3.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.4027777777777778,3.6666666666666665,0.7777777777777778,57,3
8,1,0.505,0.5,0.35,3.75,0.75,0.25,0.875,0.43,4.25,0.25,57,4
8,2,0.27,0.0,0.9,5.5,0.0,0.0,1.0,0.31999999999999995,5.5,1.0,57,2
8,3,0.29428571428571426,0.0,0.8142857142857143,5.0,0.25,0.25,0.875,0.2724107142857143,5.0,0.375,57,4
8,4,0.5666666666666667,0.6666666666666666,0.3333333333333333,3.6666666666666665,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.4861111111111111,4.333333333333333,0.7777777777777778,57,3
8,0,0.3,0.0,1.0,7.4,0.0,0.8,0.6666666666666666,0.20666666666666667,7.4,0.3,58,5
8,1,0.22727272727272727,0.0,0.7575757575757576,4.333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.21477272727272725,4.666666666666667,0.8333333333333334,58,3
8,2,0.3,0.0,1.0,5.0,0.0,0.5,0.75,0.25625,5.0,0.75,58,2
8,3,0.22727272727272727,0.0,0.7575757575757576,4.333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.21893939393939393,4.333333333333333,1.0,58,3
8,4,0.3,0.0,1.0,5.0,0.0,1.0,0.6111111111111112,0.19305555555555554,5.0,0.5,58,3
