correctness_correlation_delta,functional_role_profile_status,n_eff_delta,oracle_vote_gap_delta,seed,split,total_pivotal_delta,total_unique_delta
-0.0919676713203309,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,0.20296629527736698,-0.1066666666666668,56,train,36,-5
-0.11158338557543812,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,0.21392863736249712,0.05999999999999994,56,validation,12,5
-0.04342380773889054,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,0.07678507574240179,-0.08799999999999997,56,test,24,-6
0.15456903043677644,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.381199195967576,0.11999999999999988,57,train,-18,5
0.13949642549004948,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.2103606199347825,0.039999999999999925,57,validation,-12,-2
0.20509778673419188,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.4220362700247291,-0.008000000000000118,57,test,-27,3
0.11715239087631024,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.18262346179541766,0.04000000000000015,58,train,-6,6
0.27285432515394037,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.4116107078053284,-0.19999999999999996,58,validation,-6,-1
0.17005833991564767,EVIDENCE_INSUFFICIENT_EXISTING_DEFINITION_NOT_AVAILABLE,-0.27127456310456677,-0.03200000000000014,58,test,-24,3
