G_after,G_before,H_after,H_before,M_after,M_before,contrast,correct_member_ids_after,correct_member_ids_before,coverage_remains_but_vote_lost,oracle_lost,question_hash,seed,taxonomy,wrong_coalition_strengthened
2,3,3,2,-1,1,S1_to_S2,0|1,2|3|4,1,0,fa90db782fb5056039ceda1ed1ffef86fa73db1fd089d88feb50d059f103bba8,56,WRONG_COALITION_STRENGTHENED,1
2,5,3,0,-1,5,S1_to_S4,2|4,0|1|2|3|4,1,0,88ec4eabc6a1c35a93d956128678edc3e9b57a532e89fd47aaf5477d3ed36db0,56,WRONG_COALITION_STRENGTHENED,1
2,5,2,0,0,5,S1_to_S4,2|4,0|1|2|3|4,1,0,4733520e8a6955819b0b16d2c4075184e95d50bd8b9dab0d50e4a3c22a2bfb16,56,WRONG_COALITION_STRENGTHENED,1
2,3,3,2,-1,1,S1_to_S4,2|4,2|3|4,1,0,fa90db782fb5056039ceda1ed1ffef86fa73db1fd089d88feb50d059f103bba8,56,WRONG_COALITION_STRENGTHENED,1
2,4,3,1,-1,3,S1_to_S4,2|4,0|2|3|4,1,0,e3e4eacc1e4769872187386cc047ee7d06befd0da59e31b7cb531b5235a5aad2,56,WRONG_COALITION_STRENGTHENED,1
2,4,3,1,-1,3,S1_to_S2,2|3,0|1|2|3,1,0,5147ccce636394d1773531bbccd6f904010397f216f40583146c0a0b86a66ad4,57,WRONG_COALITION_STRENGTHENED,1
2,4,3,1,-1,3,S1_to_S2,2|3,0|1|3|4,1,0,c71cafbaa8501253f35fe2c44c578c813cd743c92019dcdee3df64bd25acf526,57,WRONG_COALITION_STRENGTHENED,1
0,3,5,2,-5,1,S1_to_S2,,0|2|4,0,1,336c5214ed9dc2195afc62857d20c59c336688efb3a31e70ec50655e4f418797,57,ORACLE_LOST,0
0,3,5,2,-5,1,S1_to_S2,,1|2|3,0,1,bbafe69619b57815780fbc34195d2b71286fc4d46d4f82ba5dd8e28fd0ae05fc,57,ORACLE_LOST,0
1,4,4,1,-3,3,S1_to_S2,3,0|2|3|4,1,0,87a94dce012ec1ba6bcb62819ba69dd4e56b8b8b7cfcdebc9737206e4fdc020b,57,WRONG_COALITION_STRENGTHENED,1
2,3,3,2,-1,1,S1_to_S2,2|3,0|2|3,1,0,a122a5f0d5e0ab3e140db1b1ea573a23f1f9d90c9249cccc7a56648fa9214ab1,57,WRONG_COALITION_STRENGTHENED,1
2,3,3,2,-1,1,S1_to_S2,2|3,0|1|3,1,0,30d1c8a11d6c3abe5d3c919ad986f07d044dbb2d632cf935c6ef4244ac0cb4f5,57,WRONG_COALITION_STRENGTHENED,1
1,4,4,1,-3,3,S1_to_S2,2,0|1|3|4,1,0,bf93eab7018c887760b53dcdf65392139af85b2b9d87ed35da8b2c58df7257e5,57,WRONG_COALITION_STRENGTHENED,1
2,5,3,0,-1,5,S1_to_S2,2|3,0|1|2|3|4,1,0,31adc4f0af2001990841b3a963c1162f55dad7da3175b0b638d325268760880c,57,WRONG_COALITION_STRENGTHENED,1
1,3,4,2,-3,1,S1_to_S2,3,2|3|4,1,0,6a5e390c06bbc75192f83c92a376b7eb717c48b0de5e44947d34d8f131bc1b1e,57,WRONG_COALITION_STRENGTHENED,1
2,5,3,0,-1,5,S1_to_S2,2|3,0|1|2|3|4,1,0,7dab8ad9c205723dbebad7a102e8c470a0442eae2732c0cfb647d8f57a0a49e5,57,WRONG_COALITION_STRENGTHENED,1
2,3,3,1,-1,2,S1_to_S2,2|3,1|2|4,1,0,7d44d58e097a9ac47c0853ae5265a63ab7770191c62520d7fc54fb1ad8824164,57,WRONG_COALITION_STRENGTHENED,1
2,5,3,0,-1,5,S1_to_S2,2|3,0|1|2|3|4,1,0,b34b48ca8c7d759caf3d4bdf26e73b3c1635148ed45fc34f76929f3094efa64b,57,WRONG_COALITION_STRENGTHENED,1
