seed,arm,split,vote,mean_member,oracle,ensemble_gain
75,STATIC_NO_TRAIN_SEED75,optimize,0.59,0.59,0.59,0.0
75,STATIC_NO_TRAIN_SEED75,shadow,0.4,0.4,0.4,0.0
75,STATIC_NO_TRAIN_SEED75,validation,0.56,0.56,0.56,0.0
75,P0_SHADOW_D2_GENERIC,optimize,0.79,0.728,0.98,0.062000000000000055
75,P0_SHADOW_D2_GENERIC,shadow,0.66,0.636,0.88,0.02400000000000002
75,P0_SHADOW_D2_GENERIC,validation,0.64,0.652,0.98,-0.01200000000000001
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,optimize,0.76,0.712,0.98,0.04800000000000004
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,shadow,0.6,0.6,0.86,0.0
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,validation,0.7,0.636,0.8,0.06399999999999995
