agents,all_agents_shared_origin,all_same_pair_rate,all_same_pair_rate_from_preds,all_same_primary_rate,all_same_primary_rate_from_preds,baseline_only,disagreement_rate,diversity_reward_enabled,embedding_model,embedding_status,epochs,eval_size,init_mode,lambda_diversity,latest_prompt_cosine_diversity,latest_prompt_cosine_similarity,latest_prompt_count,latest_prompt_diversity_rate,latest_prompt_embedding_cosine_diversity,latest_prompt_embedding_cosine_similarity,latest_prompt_embedding_text_count,latest_prompt_exact_diversity_rate,latest_reasoning_summary_cosine_diversity,latest_reasoning_summary_cosine_similarity,latest_reasoning_summary_count,latest_summary_embedding_cosine_diversity,latest_summary_embedding_cosine_similarity,latest_summary_embedding_text_count,latest_test_mean_family_diversity,latest_test_mean_family_homogeneity_rate,latest_test_mean_llm_direct_diversity_score,latest_test_prediction_file,latest_test_vote_acc,latest_trace_cosine_diversity,latest_trace_cosine_similarity,latest_trace_count,latest_trace_embedding_cosine_diversity,latest_trace_embedding_cosine_similarity,latest_trace_embedding_text_count,latest_train_mean_llm_direct_diversity_score,latest_train_vote_acc,low_confidence_share,low_confidence_share_from_preds,mean_evidence_spans,mean_evidence_spans_from_preds,mean_family_confidence,mean_family_confidence_from_preds,mean_family_diversity_from_preds,mean_family_homogeneity_rate_from_preds,mean_family_shift_rate_during_candidate_eval,mean_generic_prompt_candidate_rate,mean_llm_direct_diversity_score_from_preds,mean_rejudge_count,mean_rejudge_count_from_preds,mean_selected_agents,mean_summary_embedding_shift_during_candidate_eval,mean_summary_tokens,mean_summary_tokens_from_preds,mean_summary_words,mean_summary_words_from_preds,mean_trace_embedding_chunks,mean_updated_agents,mean_vote_acc_from_preds,prompt_drift_cosine_distance,prompt_drift_rate,prompt_embedding_status,reasoning_summary_cosine_window_used,run_dir,setting,summary_embedding_cosine_window_used,summary_embedding_model,summary_embedding_status,test_size,trace_cosine_window_used,trace_embedding_chunk_overlap,trace_embedding_chunk_words,trace_embedding_cosine_window_used,trace_embedding_model,trace_embedding_status,train_size,train_steps,update_applied_rate,update_every,update_ready_rate,update_requested_rate,update_selected_rate
5,0,0.02,0.02,0.2,0.2,1,0.29,0,BAAI/bge-small-en-v1.5,ok,2,100,bank,0.0,0.7330098206399003,0.2669901793600998,5,1.0,0.29535837898468953,0.7046416210153105,5,1.0,0.1495796359261657,0.8504203640738344,5,0.04387608841474735,0.9561239115852527,5,0.5255372705525836,0.53659,0.0,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\bank_baseline\test_epoch1_predictions.jsonl,0.74,0.08314441779810122,0.9168555822018988,5,0.03029934633335808,0.9697006536666419,5,0.0,0.0,0.008,0.008,2.512,2.512,0.84664,0.84664,0.5255372705525836,0.53659,0.0,0.0,0.0,1.11,1.11,,0.0,175.592,175.592,136.268,136.268,1.14,,0.74,2.2204460492503132e-17,0.0,ok,10,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\bank_baseline,bank_baseline,10,BAAI/bge-small-en-v1.5,ok,100,10,40,320,10,BAAI/bge-small-en-v1.5,ok,200,,,5,,,
5,0,0.13,0.13,0.3,0.3,0,0.24,1,BAAI/bge-small-en-v1.5,ok,1,100,bank,0.5,0.7541181196463922,0.24588188035360783,5,1.0,0.2829228451185277,0.7170771548814723,5,1.0,0.14376154601020982,0.8562384539897901,5,0.04140466626090209,0.9585953337390979,5,0.4596892421805236,0.6052399999999999,0.0,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\bank_div\test_epoch1_predictions.jsonl,0.75,0.060525933275756394,0.9394740667242436,5,0.019074224933388763,0.9809257750666113,5,0.0,0.81,0.01,0.01,2.462,2.462,0.8458399999999999,0.8458399999999999,0.45968924218052365,0.60524,0.029166666666666664,0.2,0.0,1.29,1.29,0.4,0.022546077928476724,175.322,175.322,135.47,135.47,1.16,0.135,0.75,0.9353932126019564,1.0,ok,10,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\bank_div,bank_div,10,BAAI/bge-small-en-v1.5,ok,100,10,40,320,10,BAAI/bge-small-en-v1.5,ok,200,200,0.11,5,0.2,0.2,0.2
5,1,0.11,0.11,0.32,0.32,1,0.25,0,BAAI/bge-small-en-v1.5,ok,2,100,shared,0.0,0.0,1.0,5,0.0,0.0,1.0,5,0.0,0.1426751176049107,0.8573248823950893,5,0.046484912960113825,0.9535150870398862,5,0.48299680735882977,0.6073850000000001,0.0,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\shared_baseline\test_epoch1_predictions.jsonl,0.77,0.04972692612823197,0.9502730738717681,5,0.018659059326716555,0.9813409406732835,5,0.0,0.0,0.02,0.02,2.454,2.454,0.83766,0.83766,0.48299680735882977,0.607385,0.0,0.0,0.0,1.26,1.26,,0.0,176.416,176.416,135.422,135.422,1.2,,0.77,0.0,0.0,ok,10,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\shared_baseline,shared_baseline,10,BAAI/bge-small-en-v1.5,ok,100,10,40,320,10,BAAI/bge-small-en-v1.5,ok,200,,,5,,,
5,1,0.15,0.15,0.36,0.36,0,0.22,1,BAAI/bge-small-en-v1.5,ok,1,100,shared,0.5,0.777489803486864,0.22251019651313597,5,1.0,0.3398231171704804,0.6601768828295196,5,1.0,0.14594172720114115,0.8540582727988588,5,0.0470685837669557,0.9529314162330443,5,0.4659263659278789,0.61096,0.0,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\shared_div\test_epoch1_predictions.jsonl,0.72,0.06276497481089145,0.9372350251891085,5,0.018525729733628295,0.9814742702663717,5,0.0,0.865,0.01,0.01,2.49,2.49,0.84534,0.84534,0.4659263659278789,0.61096,0.03666666666666667,0.2,0.0,1.34,1.34,0.4,0.022268529960643164,175.786,175.786,135.65,135.65,1.1,0.145,0.72,0.8925409408065113,1.0,ok,10,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_experiments\shared_div,shared_div,10,BAAI/bge-small-en-v1.5,ok,100,10,40,320,10,BAAI/bge-small-en-v1.5,ok,200,200,0.12,5,0.2,0.2,0.2
