condition,state_id,vote_accuracy,oracle_accuracy,mean_member_accuracy,invalid_rate
LF_SEED_OMITTED,P0_COMMON,0.6,0.6,0.6,0.0
LF_SEED_OMITTED,DIVERSITY_SEED77_P1_FINAL,0.6,0.7,0.5,0.0
LF_SEED_SENT,P0_COMMON,0.6,0.6,0.6,0.0
LF_SEED_SENT,DIVERSITY_SEED77_P1_FINAL,0.6,0.9,0.58,0.0
CRLF_SEED_OMITTED,P0_COMMON,0.4,0.4,0.4,0.0
CRLF_SEED_OMITTED,DIVERSITY_SEED77_P1_FINAL,0.6,0.7,0.58,0.0
CRLF_SEED_SENT,P0_COMMON,0.4,0.4,0.4,0.0
CRLF_SEED_SENT,DIVERSITY_SEED77_P1_FINAL,0.6,0.7,0.52,0.0
