branch_id,candidate_hash,seed,update_index,target_agent_id,fixed_residual_count,fixed_coarse_signature_count,fixed_fine_signature_count,repair_focus_share,all_repair_gain,common_safe_feasible_repair_gain,committed_repair_gain
seed49_update7_target2,016cce02ce366ad8d792d9356c8cb9da5b8db6e3817da50a1fba7533654743d1,49,7,2,1,1,1,1.0,True,False,False
seed49_update7_target2,3721514915f238c074420536c0b153a7d27313c19230a8c7606e947ddb9cfc93,49,7,2,1,1,1,1.0,True,False,False
seed49_update10_target2,27258fbb1a7138d2e43a422c345a1887deea37b8e42181f0deb8d18297af69e1,49,10,2,1,1,1,1.0,True,False,False
seed49_update10_target2,4911606466ab7864ade6c17061d3136e432c24a3e20c41d12f4eea0e610546c8,49,10,2,1,1,1,1.0,True,False,False
seed49_update11_target2,08174fc0d1c5b8adf8cf4ef31bda6c5e052e97e4eaf95fcecd8c1d266eca46de,49,11,2,1,1,1,1.0,True,False,False
seed49_update11_target2,f5e7b3907983e7b74faf686cde6626ce71eeff2c6ade4422311704fc0e26d0cf,49,11,2,1,1,1,1.0,True,False,False
seed49_update12_target4,15b994a3b8d9f62ff95040433be442f21da68385d66d38ea8aca8a51e80b3557,49,12,4,2,1,1,1.0,True,False,False
seed49_update12_target4,a1772391eb4c996fc8771a6839d952987d920c6c369b3b9e2e6cfcc2d1739cdc,49,12,4,1,1,1,1.0,True,False,False
seed49_update12_target2,06375af778eafc682cef7985708b1da5ab3632c1be8ffd15906ddb1df59315d3,49,12,2,1,1,1,1.0,True,False,False
seed49_update12_target2,5e46c1b6313c6109b8a572fe0f3123bcd5ace8cc40eddc872b2ee2184a66d275,49,12,2,1,1,1,1.0,True,False,False
seed49_update24_target4,8acf9624dcaaf0092e5e4f6c198a1f52bed91d0ab12d53823f9dd06af415821a,49,24,4,1,1,1,1.0,True,True,True
seed49_update25_target2,77ab30cdf72b213838da2fc52dfeab5c74e3f041fd8e71d7640ae9982c3ce69d,49,25,2,1,1,1,1.0,True,False,False
seed50_update0_target0,0099a25209ee4fc749b1993286013579ff32ca1caf0dcdc83cda19ea9aa93772,50,0,0,1,1,1,1.0,True,True,False
seed50_update0_target0,9b6ac242b2b05d7ebe7c1f22e7d5ff6ca0f6f3ca5247715f62e7a331ff3424cd,50,0,0,1,1,1,1.0,True,True,True
seed50_update1_target3,ae4a24a8c4b0e02faca1f5837668477c1013804bcf1cd94f48d9c0fa0a12174c,50,1,3,2,1,1,1.0,True,False,False
seed50_update1_target3,f0573911001827ede2d40431a4521dcd7df86c5849f08c8a5dd2827fd77ca712,50,1,3,2,1,1,1.0,True,True,True
seed50_update2_target4,589eb7c04856eb517c04974d0bea2e41b019105bc43645656fe31d3ce90d736c,50,2,4,2,1,1,1.0,True,True,False
seed50_update2_target4,d892dc7eeef2d76694d0523f317f843046dea42176488f8f1c819c4899066f96,50,2,4,2,1,1,1.0,True,True,True
seed50_update2_target2,d295a11651677fb97733f7b6d07ec1a266089ba1ecfc3b976b5737dca997c545,50,2,2,1,1,1,1.0,True,False,False
seed50_update2_target2,dfab28e1cd85dd4495e7d7588c308ed24f6f658d1d2876a43cb543793fa87582,50,2,2,1,1,1,1.0,True,False,False
seed50_update8_target4,befab05ca79f649f015c8049b683ce14a35dc81ba4a664d32c6ac237e6bcc2cd,50,8,4,1,1,1,1.0,True,False,False
seed50_update9_target4,9891adf6a28b233f27c220d3a62db71e7d1973bfa69bb0245140e2fe701f1108,50,9,4,2,1,1,1.0,True,False,False
seed50_update11_target3,b4edf8221caa48130d129843e13c60d28e041db98ca17a24d7ea8fc60a111f96,50,11,3,2,1,1,1.0,True,False,False
seed50_update13_target2,79c0a8070a6844fc98c93cd942f2d50bc69268934bdd90b94fbab3e94ae444ae,50,13,2,1,1,1,1.0,True,False,False
seed50_update13_target2,7db7282dbd3feb8cb48c5f49c667ee7c1e44f12d8c5ad9a5968f9749bfc1f083,50,13,2,1,1,1,1.0,True,True,True
seed50_update13_target4,bd243e0dc840f79afcbf5ca2a686f4ae5f38c4402674816993225231f9a54c2b,50,13,4,1,1,1,1.0,True,False,False
seed50_update15_target4,bdf15e2177f9ee7e465380a441cb7242fa190b5ce94fe52dea72fe0222613a10,50,15,4,1,1,1,1.0,True,False,False
seed50_update18_target0,f7755faae2662b0d8140e8db4b1c7cf95a4355e6c1ca1bd3761c9ddc42af2e37,50,18,0,1,1,1,1.0,True,False,False
seed50_update22_target2,0fb973433d66f07fb5e8c1c032d12a00ed5edac5f5bdc3cb437356222786f4b6,50,22,2,1,1,1,1.0,True,False,False
seed50_update22_target2,7b700d762230485ad14908ac7f6a39d6374a2001381f4a3a885d79c937b21f4f,50,22,2,1,1,1,1.0,True,False,False
seed50_update23_target4,f5e9c688e9b7b8988c4603d5235949e0977c80a4b7d433a4342a186a8a5f204a,50,23,4,1,1,1,1.0,True,False,False
seed50_update27_target0,9912f8a3754c41e64d8a7e95518ce2d69e0d13cb20e999627fab20b8dfa39a6c,50,27,0,1,1,1,1.0,True,False,False
seed51_update0_target4,6be8aa41606249359f90bc78d0112c3710af1ce60993d68f76472454b85bd2a4,51,0,4,1,1,1,1.0,True,False,False
seed51_update0_target4,889e13a6dd821ee9b1bfdbc68d03d475a010b1556a0f58e07d0dac9f582f19b5,51,0,4,1,1,1,1.0,True,False,False
seed51_update1_target0,954a3641ba25657f476e07bf87c3af665d20fab18886509f2272d781ba30bc2c,51,1,0,1,1,1,1.0,True,True,False
seed51_update1_target0,b9af39480e1581fee648a67cf53596e3b69de7582193fa2f6d322f9612daea14,51,1,0,1,1,1,1.0,True,True,True
seed51_update1_target3,4be967843acbc493439e4099db99e9de3066cca1ccd7b3234b13d89344aa7053,51,1,3,1,1,1,1.0,True,False,False
seed51_update1_target3,c0a247264e432e46aeb5cee1b0efa056cf6f4ed79f166b12bcc660750b37d8f7,51,1,3,1,1,1,1.0,True,False,False
seed51_update2_target2,6cf7afcf8f5467ec1afac3d324f1848f0e0ea38ead576de1f29c21d40836eca2,51,2,2,2,1,1,1.0,True,True,False
seed51_update2_target2,75b91e8267aed18b60a69502a10fda81a39f946dc8310cf2c1154d94d4b472f2,51,2,2,1,1,1,1.0,True,True,True
seed51_update3_target1,1a4be9e3979d38f78f80b49e665dfeb79978e55a1a1d4fd6f6284720ae1a039e,51,3,1,2,1,1,1.0,True,True,True
seed51_update3_target1,54852c2365bd1ec89b8d7a4f9d32f63ee4a0ca324ab35c88115bdfe4ba36f6dc,51,3,1,2,1,1,1.0,True,True,False
seed51_update3_target4,707b7ac602090f5e33dfce0172a3a3b827031f272c64c29f02460e8205287d59,51,3,4,2,1,1,1.0,True,False,False
seed51_update3_target4,bd9d564d4603b6495c8be85cf332a9f281a1daf55afb1da8160e2b6466000724,51,3,4,2,1,1,1.0,True,False,False
seed51_update4_target4,5d1ae39823b5741992f5682cf065ad18bcc420c918e7549dbd1890248ba4ad22,51,4,4,1,1,1,1.0,True,False,False
