split,arm,label,item_count,seed_item_count,mean_vote_accuracy
train75,D0,A,28,84,0.5833333333333334
train75,D0,B,30,90,0.7
train75,D0,C,17,51,0.7058823529411765
train75,D1,A,28,84,0.8571428571428571
train75,D1,B,30,90,0.8444444444444444
train75,D1,C,17,51,0.7450980392156863
train75,D2,A,28,84,0.8452380952380952
train75,D2,B,30,90,0.8777777777777778
train75,D2,C,17,51,0.7450980392156863
train75,D3,A,28,84,0.8809523809523809
train75,D3,B,30,90,0.8888888888888888
train75,D3,C,17,51,0.7450980392156863
train75,D4,A,28,84,0.8690476190476191
train75,D4,B,30,90,0.8777777777777778
train75,D4,C,17,51,0.7254901960784313
train75,D5,A,28,84,0.9047619047619048
train75,D5,B,30,90,0.9222222222222223
train75,D5,C,17,51,0.5294117647058824
validation50,D0,A,9,27,0.4444444444444444
validation50,D0,B,19,57,0.7894736842105263
validation50,D0,C,22,66,0.6060606060606061
validation50,D1,A,9,27,0.7037037037037037
validation50,D1,B,19,57,0.7894736842105263
validation50,D1,C,22,66,0.5606060606060606
validation50,D2,A,9,27,0.7777777777777778
validation50,D2,B,19,57,0.8245614035087719
validation50,D2,C,22,66,0.5757575757575758
validation50,D3,A,9,27,0.7407407407407407
validation50,D3,B,19,57,0.8771929824561403
validation50,D3,C,22,66,0.5151515151515151
validation50,D4,A,9,27,0.7777777777777778
validation50,D4,B,19,57,0.8070175438596491
validation50,D4,C,22,66,0.5606060606060606
validation50,D5,A,9,27,0.7037037037037037
validation50,D5,B,19,57,0.8421052631578947
validation50,D5,C,22,66,0.3181818181818182
former_test125,D0,A,41,123,0.7317073170731707
former_test125,D0,B,48,144,0.7152777777777778
former_test125,D0,C,36,108,0.5740740740740741
former_test125,D1,A,41,123,0.8130081300813008
former_test125,D1,B,48,144,0.8402777777777778
former_test125,D1,C,36,108,0.5740740740740741
former_test125,D2,A,41,123,0.7804878048780488
former_test125,D2,B,48,144,0.8333333333333334
former_test125,D2,C,36,108,0.5833333333333334
former_test125,D3,A,41,123,0.7886178861788617
former_test125,D3,B,48,144,0.875
former_test125,D3,C,36,108,0.46296296296296297
former_test125,D4,A,41,123,0.7967479674796748
former_test125,D4,B,48,144,0.8680555555555556
former_test125,D4,C,36,108,0.5185185185185185
former_test125,D5,A,41,123,0.8373983739837398
former_test125,D5,B,48,144,0.9027777777777778
former_test125,D5,C,36,108,0.3888888888888889
