comparison,label_total_variation,label_js_divergence_bits,cluster_total_variation,cluster_js_divergence_bits,max_abs_structural_smd,max_smd_feature,signed_smd
train75_vs_validation50,0.21333333333333337,0.05013063082394936,0.18666666666666665,0.041271883149195866,0.34252824850430164,core_chars,0.34252824850430164
train75_vs_former_test125,0.06133333333333334,0.003817891143933331,0.16266666666666665,0.02741125114014383,0.21003299811583118,core_words,0.21003299811583118
validation50_vs_former_test125,0.15200000000000002,0.027318038549385068,0.21200000000000002,0.05163335127939364,0.31631332148189645,max_option_words,0.31631332148189645
