seed,arm,artifact_role,sha256
59,W1_TOP2,validation_states.jsonl,1364e61abf666ddca05ca2a0402c97ac2dd164f3d78393fafebed88e7944d329
59,W1_TOP2,update_lineage.jsonl,c21a7eda54b432b7e8ecab64e8a46036ebd30ad586da1d92d825f1f6f8b704cc
59,W1_TOP2,online_run_summary.json,17a220922f8de13ec25b86c39586dce37dc5a4dd3f372494ae158bc22146c0f4
59,HYBRID_BASE,validation_states.jsonl,ceea95623b3ca27577996514ab45d6229c66b676c397b77a2ed46fa996e795e3
59,HYBRID_BASE,update_lineage.jsonl,d635782ee9fb89f49f6cfd2e91559fa59ebe36ccd7eb0e96f2f9d23393714457
59,HYBRID_BASE,online_run_summary.json,4b9352066f2b419c095caf77e132b6863cc40ede7167d9cefa98baa4ac76db73
60,W1_TOP2,validation_states.jsonl,598867b7918eb3ad49a1c0e6d30eebe8a2a9a79adabf4664a8d0437f79ee76df
60,W1_TOP2,update_lineage.jsonl,d155cf47ebb2a76d7ccdd53c56b3cdaf1f570b34e4791373c003df3ad8d72d79
60,W1_TOP2,online_run_summary.json,451bbff4fa417bbffacd1192436e63181f2d53a8986dc4b2ba66a3290886c888
60,HYBRID_BASE,validation_states.jsonl,b50c91a5ea87838581b178a490dfac42334902fc0cda72d6f2de6a41175c1d6c
60,HYBRID_BASE,update_lineage.jsonl,0f3ee5779721b733e0a34f05f4243b337b3e278bce46f6b4ef96c60a62ad50e7
60,HYBRID_BASE,online_run_summary.json,a194fe03ef90f2a8ef4683d3c3cd7ee3d427ed6108242c4382fa5a4fdfa0c5b9
61,W1_TOP2,validation_states.jsonl,64462fd6044777bfd786878cbb474f9561f755f46631dcb615714ccfb646cb2a
61,W1_TOP2,update_lineage.jsonl,a71fd9a442ab3c86328c5f1973f4d4df5079e450d30935dc214fce9ddb12d02c
61,W1_TOP2,online_run_summary.json,41012e55df2dda43aff3f8d88be8fdfc3ab86ab7ef923cc9fd71edb5797f3fc2
61,HYBRID_BASE,validation_states.jsonl,abb4678f003e566282d367a6c53ec368ab5cd4f92b2dd3f0a6ce94c38cab832d
61,HYBRID_BASE,update_lineage.jsonl,4b70a4e3a3e579f298dc41ece81312a7e3fe86af7a8d536826d4e7df71a9173a
61,HYBRID_BASE,online_run_summary.json,f5dd5f4071242e3661d9843c20460a1b1019a60f936d537e20e0b125fa1290e8
