update,B0_winner_hash,B1_winner_hash,M3B_winner_hash,SRA_winner_hash,SRB_winner_hash,SRC_winner_hash,B0_target,B1_target,M3B_target,SRA_target,SRB_target,SRC_target
1,df6439f1830a942a711c6b243c7911195f8bdde07a154023ec275870193f644b,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,7a5c1a854a7cab9925994fe20bea312a7af308a57750c9c3c4adabc055fe1856,3,3,3,3,3,3
4,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,c85605bc81394ec0bd2bde02afe3c10cc3d2d2070096a94aeb80d71a0b61921a,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,bdea0b744147bb10dc2c3f0e2d25dbf113ebb0c83f2db8a5e75ce791f41b706e,3,3,3,3,3,3
8,b10043cd0813196a6d7130d126ff35f75640e05cee04f219e2b542328f87418c,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,b61d64332042733d2db85e7f32659887f46d34c0528ffd24ef6a6c4833f6f55f,3,3,3,3,3,3
22,,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,e662f19e65c46d4c8d8a2f8a96e50fabe2b735383fa4f3ffeb1bddc5895cb9d3,,3,3,3,3,3
