task_id,benchmark,method_id,setting,seed,dataset_format,split_protocol,leakage_warning,num_test_samples,vote_acc,majority_vote_acc,weighted_vote_acc,mean_individual_acc,best_individual_acc,oracle_acc,aggregation_gap,rescue_available_rate,correct_disagreement_rate,mean_useful_diversity,mean_vote_margin,mean_boundary_useful_diversity,vote_tie_rate,aggregation_mode,solver_calls,optimizer_calls,evaluator_calls,total_llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost,latency_seconds,run_dir
disambiguation_qa,BBH,mad_shared_baseline,shared_baseline,42,mars,task_manifest_split,False,125,0.432,0.432,0.448,0.456,0.48,0.568,0.13599999999999995,0.136,0.2,0.01717310768763224,-0.088,0.0,0.0,majority,625,0,0,625,117025,80255,197280,0.0,16806.03482723236,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\disambiguation_qa\shared_baseline_seed42
disambiguation_qa,BBH,mad_shared_scalar_tcs_vote_first,shared_scalar_tcs_vote_first,42,mars,task_manifest_split,False,125,0.712,0.712,0.712,0.6816,0.736,0.856,0.14400000000000002,0.144,0.424,0.054439468844731644,0.3648,0.002666666666666667,0.008,majority,12601,212,138,12951,3811484,2553260,6364744,0.0,461914.86038804054,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\disambiguation_qa\shared_scalar_tcs_vote_first_seed42
disambiguation_qa,BBH,mad_shared_vote_pareto_tcs,shared_vote_pareto_tcs,42,mars,task_manifest_split,False,125,0.648,0.648,0.648,0.624,0.68,0.816,0.16799999999999993,0.168,0.424,0.047567324924468996,0.2544,0.005333333333333334,0.0,majority,10725,193,128,11046,3199408,1845828,5045236,0.0,278043.5814535618,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\disambiguation_qa\shared_vote_pareto_tcs_seed42
geometric_shapes,BBH,mad_shared_baseline,shared_baseline,42,mars,task_manifest_split,False,125,0.656,0.656,0.648,0.6384,0.664,0.744,0.08799999999999997,0.088,0.256,0.03092996269861857,0.304,0.002666666666666667,0.008,majority,625,0,0,625,155185,186188,341373,0.0,18784.515284776688,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\geometric_shapes\shared_baseline_seed42
geometric_shapes,BBH,mad_shared_scalar_tcs_vote_first,shared_scalar_tcs_vote_first,42,mars,task_manifest_split,False,125,0.64,0.64,0.64,0.6112,0.648,0.8,0.16000000000000003,0.16,0.408,0.06246067018508911,0.2672,0.0,0.0,majority,12575,233,159,12967,4421256,4921497,9342753,0.0,491516.8002309799,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\geometric_shapes\shared_scalar_tcs_vote_first_seed42
geometric_shapes,BBH,mad_shared_vote_pareto_tcs,shared_vote_pareto_tcs,42,mars,task_manifest_split,False,125,0.64,0.64,0.648,0.6336,0.648,0.776,0.136,0.136,0.32,0.07096601236661274,0.2944,0.009333333333333334,0.016,majority,9157,151,102,9410,3118662,3311021,6429683,0.0,272107.52412605286,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\geometric_shapes\shared_vote_pareto_tcs_seed42
ruin_names,BBH,mad_shared_baseline,shared_baseline,42,mars,task_manifest_split,False,125,0.848,0.848,0.848,0.8336,0.848,0.896,0.04800000000000004,0.048,0.16,0.02142531892458598,0.6751999999999999,0.002666666666666667,0.008,majority,625,0,0,625,108570,121126,229696,0.0,18225.626775979996,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\ruin_names\shared_baseline_seed42
ruin_names,BBH,mad_shared_scalar_tcs_vote_first,shared_scalar_tcs_vote_first,42,mars,task_manifest_split,False,125,0.864,0.864,0.864,0.8496,0.864,0.936,0.07200000000000006,0.072,0.2,0.06750510110855101,0.7152000000000001,0.004,0.008,majority,11715,222,151,12088,3338737,2985009,6323746,0.0,421689.31632995605,D:\myx\grade_one\experiments\multi_agent_diversity\runs_vote_stage2_selector_pilot_v4_dcc9492\ruin_names\shared_scalar_tcs_vote_first_seed42
