seed,update_index,base_target2,conversion_count_target2,singleton_count_target2,direct_flip_count_target2,base_total_count,selected_total_count,base_singleton_count,selected_singleton_count,base_direct_flip_count,selected_direct_flip_count
56,4,4,0,4,0,3,5,3,3,0,4
56,7,0,4,4,1,1,5,1,5,0,1
57,6,0,3,3,1,3,6,1,6,2,3
57,7,1,1,1,1,4,4,1,1,3,3
58,6,1,1,1,1,3,3,3,3,0,0
