case_id,variant,prompt_hash,edit_ratio,edit_char_count,changed_line_count,repair_gain,geometry,feasible
seed48_structural_parent1_target0,m20_current_v15,d35ab9caa42609a6175d1fd7c7c4500c5ac9ee067d845ab140859cc3f34a8a66,4.099236641221374,537,1,3,B,True
seed48_structural_parent1_target0,m20_current_v15,ab125ffe23ddbc1ad4f81c0c4b026b53a3ac10b2f2f492275f12b6411b0a5698,3.450381679389313,452,1,2,F,False
seed48_structural_parent1_target0,m2d_raw_responsibility_minimal_edit,05807190bd3be4d55b4cea00f70c1c4e665fc15c5bb5680c254e16abd8d45372,2.572519083969466,337,1,2,B,True
seed48_structural_parent1_target0,m2d_raw_responsibility_minimal_edit,08b120df9d5e12091e0186989b48e625e5859dc16fa67083a3285345662484cc,2.9160305343511452,382,1,3,B,True
seed48_structural_parent1_target0,m2b_diagnosis_minimal_edit,09f816f0d4490456296bdb276e6ef6e051afc8ecd6f9f53b01c0d511806566f2,2.877862595419847,377,1,1,F,False
seed48_structural_parent1_target0,m2b_diagnosis_minimal_edit,63d0b637173db7372ea97bef88874b998cc610e0e800e5082ef0e45330150c76,2.4198473282442747,317,1,2,F,False
seed48_structural_parent2_target4,m2d_raw_responsibility_minimal_edit,b29a5afeb26ceaef47fb39551b32b324d439a2c56b62fb709490908e01142e80,3.50381679389313,459,1,0,E,False
seed48_structural_parent2_target4,m2d_raw_responsibility_minimal_edit,0d2eb5c89c223bdf201c3903e76a7193a76bc880b7a6798cd5cb32331ec6ad95,3.572519083969466,468,1,2,E,False
seed48_structural_parent2_target4,m2b_diagnosis_minimal_edit,7810716e2f0d7ae5077478293a71a223cd47ecf85bc34b236801305d4d92df9b,3.282442748091603,430,1,2,C,True
seed48_structural_parent2_target4,m2b_diagnosis_minimal_edit,c47ee8b3b8d7e4a36e0b5ad2be5ceed576a1e94e1ae73b64c3838e73176fb204,2.7022900763358777,354,1,4,A,True
seed48_structural_parent2_target4,m20_current_v15,72561242229f18e78090e8a6f4aec5043e54d8604dea042ea13235edf6e065de,2.633587786259542,345,1,2,A,True
seed48_structural_parent2_target4,m20_current_v15,7d10b34275c43bfd96d731d326db2d9bffbec44c5de5232ad65c11e7d81f4559,2.404580152671756,315,1,4,A,True
seed49_structural_parent1_target1,m2b_diagnosis_minimal_edit,0d41bb915856b3bc5e0a261b4f13a241228929e010efc764ec7941199028769d,3.8473282442748094,504,1,3,B,True
seed49_structural_parent1_target1,m2b_diagnosis_minimal_edit,6d7a7d48c27e4306e1a505614ec6d58076d65762082e731446beaeedff4fd656,3.366412213740458,441,1,3,B,True
seed49_structural_parent1_target1,m20_current_v15,d7471e7eb79475282ef3d614b8bef8126b2318952763ca3aaf3849bc4395f3c7,3.030534351145038,397,1,3,B,True
seed49_structural_parent1_target1,m20_current_v15,082bffa38f1b790e04f5e6d67c456225a9aceee25c64252f539aca0df0515836,2.435114503816794,319,1,2,B,True
seed49_structural_parent1_target1,m2d_raw_responsibility_minimal_edit,60f9b5ea667253ccefbb1404ca682daddb53889eb3bedaa6941598d187c663da,3.7404580152671754,490,1,1,B,True
seed49_structural_parent1_target1,m2d_raw_responsibility_minimal_edit,b33402eae1caab477b2afedbf2cf06279e9aaf7274e9e9926136575900708709,3.9389312977099236,516,1,0,F,False
seed49_structural_parent2_target2,m20_current_v15,b19b04b595f34d9d54f4567f0ffe2e0928d171b6ee1b2ce01bf717d65092c930,2.564885496183206,336,1,4,C,True
