comparison,metric,wins,ties,losses
M2D_vs_M20,feasible_count,2,3,3
M2D_vs_M20,repair_gain_count,1,5,2
M2D_vs_M20,F_count,1,5,2
M2D_vs_M20,target_regression_count,2,3,3
M2B_vs_M2D,feasible_count,4,1,3
M2B_vs_M2D,repair_gain_count,2,5,1
M2B_vs_M2D,F_count,3,3,2
M2B_vs_M2D,target_regression_count,4,1,3
M2B_vs_M20,feasible_count,1,4,3
M2B_vs_M20,repair_gain_count,0,8,0
M2B_vs_M20,F_count,1,4,3
M2B_vs_M20,target_regression_count,1,5,2
