case_id,seed,update_index,target_agent_id,source_candidate_hash,historically_committed_source,source_common_safe,source_target_gain,source_train_vote_gain,source_train_vote_loss,source_train_vote_net,source_responsibility_gain_count,minimum_loss_evidence_count,source_rejection_reason_count,frozen_m2f_repair_eligible,eligibility_failure_class,repair_attempted,repair_output_valid,repair_feasible,repair_target_gain,repair_train_vote_gain,repair_train_vote_loss,repair_train_vote_net,target_gain_retention,source_validation_vote_gain,source_validation_vote_loss,source_validation_vote_net,repair_validation_vote_gain,repair_validation_vote_loss,repair_validation_vote_net,repair_validation_target_delta,repair_validation_oracle_delta,new_test_calls
seed59_update3_18a6c0b0cd83,59,3,0,18a6c0b0cd8332a2240ffd3a09fff4873785fa288aaf9339aa0a28bc5d57f58b,False,True,3,3,3,0,1,2,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
seed59_update3_2b49202d10df,59,3,0,2b49202d10dfb6e653170e3225b5d8f8abf64e48974efef6e191717961f08e2e,True,True,6,4,2,2,1,1,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,2,3,-1,NA,NA,NA,NA,NA,0
seed59_update3_625ae74cad68,59,3,0,625ae74cad68977ab75f3c4c4660ea77a9fdfe68836a5376cfb05e68559e9210,False,True,4,4,3,1,1,2,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
seed59_update3_fef81df4337d,59,3,0,fef81df4337d37aeef560b44ec3da7a7690f9a3003f16104a8513f131c00d6f5,False,True,5,4,2,2,1,1,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
seed61_update5_104082d98c1c,61,5,2,104082d98c1c0c2adfb8de39c2a8c0a34b4ad464fb035773c2db01b35ddbbfe7,False,True,5,9,1,8,3,1,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
seed61_update5_3bbbdb568042,61,5,2,3bbbdb56804275899d2f7c391dd4bc9a91ad27522cd1fe3e2528b6a2088eb6fb,False,True,9,9,3,6,3,3,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
seed61_update5_3e1e53492e48,61,5,2,3e1e53492e487a7d861bcaa61801764cd5565e94d74db9cd76745aa0ec22ed7c,True,True,7,10,1,9,3,1,0,False,no_frozen_collateral_rejection_reason,False,NA,NA,NA,NA,NA,NA,NA,1,4,-3,NA,NA,NA,NA,NA,0
