seed,arm,scheduled_update_opportunities,actual_update_opportunities,remaining_unexecuted_opportunities,termination_status,terminal_update_ordinal,final_no_commit_streak,early_stop_reason,early_stop_update_index,target_slots,generation_attempts,valid_candidates,feasible_candidates,optimize_winners,shadow_evaluations,shadow_rejections,shadow_approved_commits,optimize_vote,optimize_mean_member,optimize_oracle,shadow_vote,shadow_mean_member,shadow_oracle,validation_vote,validation_mean_member,validation_oracle,validation_ensemble_gain,optimize_to_shadow_vote_gap,optimize_to_validation_vote_gap,shadow_to_validation_vote_gap,optimize_to_shadow_member_gap,optimize_to_validation_member_gap,shadow_to_validation_member_gap,optimize_to_shadow_oracle_gap,optimize_to_validation_oracle_gap,shadow_to_validation_oracle_gap,target_opportunities_direct_flip,target_opportunities_near_margin,target_opportunities_pure_coverage,target_opportunities_fallback_rr,commits_direct_flip,commits_near_margin,commits_pure_coverage,commits_fallback_rr
75,P0_SHADOW_D2_GENERIC,32,21,11,completed_by_early_stop,21,6,no_shadow_approved_commit_streak_6,20,42,74,52,30,13,13,5,9,0.79,0.728,0.98,0.66,0.636,0.88,0.64,0.652,0.98,-0.01200000000000001,0.13,0.15000000000000002,0.020000000000000018,0.09199999999999997,0.07599999999999996,-0.016000000000000014,0.09999999999999998,0.0,-0.09999999999999998,0,0,0,0,0,0,0,0
75,P1_SHADOW_VOTE_ALIGNED_GENERIC,32,20,12,completed_by_early_stop,20,6,no_shadow_approved_commit_streak_6,19,40,67,45,17,8,8,2,7,0.76,0.712,0.98,0.6,0.6,0.86,0.7,0.636,0.8,0.06399999999999995,0.16000000000000003,0.06000000000000005,-0.09999999999999998,0.11199999999999999,0.07599999999999996,-0.03600000000000003,0.12,0.17999999999999994,0.05999999999999994,36,0,3,1,4,0,1,1
