task_id,benchmark,method_id,setting,seed,dataset_format,split_protocol,leakage_warning,num_test_samples,vote_acc,majority_vote_acc,weighted_vote_acc,mean_individual_acc,best_individual_acc,oracle_acc,aggregation_gap,rescue_available_rate,correct_disagreement_rate,mean_useful_diversity,mean_vote_margin,mean_boundary_useful_diversity,vote_tie_rate,aggregation_mode,solver_calls,optimizer_calls,evaluator_calls,total_llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost,latency_seconds,run_dir
disambiguation_qa,BBH,mad_shared_vote_pareto_tcs,shared_vote_pareto_tcs,42,mars,paper_compatible_reused_file,True,40,0.5,0.5,0.475,0.43,0.475,0.525,0.025000000000000022,0.025,0.275,0.022381613751252492,-0.13,0.008333333333333335,0.025,majority,610,10,6,626,173358,199443,372801,0.0,5478.8667550086975,D:\myx\grade_one\experiments\multi_agent_diversity\runs_emergent_stage1_smoke\disambiguation_qa\shared_vote_pareto_tcs_seed42
disambiguation_qa,BBH,mad_shared_vote_pareto_tcs_cycle_guard,shared_vote_pareto_tcs_cycle_guard,42,mars,paper_compatible_reused_file,True,40,0.475,0.475,0.475,0.43,0.45,0.55,0.07500000000000007,0.075,0.325,0.02079323396086693,-0.13499999999999998,0.0,0.0,majority,690,13,7,710,205436,220500,425936,0.0,4137.2719485759735,D:\myx\grade_one\experiments\multi_agent_diversity\runs_emergent_stage1_smoke\disambiguation_qa\shared_vote_pareto_tcs_cycle_guard_seed42
disambiguation_qa,BBH,mad_shared_vote_pareto_tcs_emergent,shared_vote_pareto_tcs_emergent,42,mars,paper_compatible_reused_file,True,40,0.425,0.425,0.4,0.445,0.575,0.625,0.2,0.2,0.325,0.022034154285987217,-0.10999999999999996,0.0,0.0,majority,610,15,11,636,212251,192964,405215,0.0,2646.127641916275,D:\myx\grade_one\experiments\multi_agent_diversity\runs_emergent_stage1_smoke\disambiguation_qa\shared_vote_pareto_tcs_emergent_seed42
