seed,p1_minus_p0_ensemble_gain,p1_minus_static_mean_member,p1_minus_static_vote,p1_minus_p0_gte3_count,p1_minus_p0_gte1_count,all_strict_requirements_pass
76,0.06400000000000006,0.019999999999999907,0.09999999999999998,3,4,True
77,-0.06800000000000006,0.07599999999999996,0.07999999999999996,-2,3,False
