parent_id,conversion_residual_count,base_target2_conversion_responsibility_count,conversion_aware_target2_conversion_responsibility_count,target2_different,phase_b_executed
prospective_seed56_u4,17,3,3,0,0
prospective_seed56_u7,14,1,1,0,0
prospective_seed57_u6,17,3,3,0,0
prospective_seed57_u7,17,4,4,0,0
prospective_seed58_u6,12,3,3,0,0
