parent_id,seed,update_index,w1_rank1_target,base_target2,conversion_aware_target2,target2_same,phase_b_executed
prospective_seed56_u4,56,4,2,4,4,1,0
prospective_seed56_u7,56,7,2,0,0,1,0
prospective_seed57_u6,57,6,4,0,0,1,0
prospective_seed57_u7,57,7,3,1,1,1,0
prospective_seed58_u6,58,6,0,1,1,1,0
