seed,setting,update_index,accepted_update_rank,target_agent_id,g_parent,g_child,transition_count
48,S0,1,1,1,0,0,15
48,S0,1,1,1,0,1,10
48,S0,1,1,1,0,2,0
48,S0,1,1,1,0,3,0
48,S0,1,1,1,0,4,0
48,S0,1,1,1,0,5,0
48,S0,1,1,1,1,0,0
48,S0,1,1,1,1,1,0
48,S0,1,1,1,1,2,0
48,S0,1,1,1,1,3,0
48,S0,1,1,1,1,4,0
48,S0,1,1,1,1,5,0
48,S0,1,1,1,2,0,0
48,S0,1,1,1,2,1,0
48,S0,1,1,1,2,2,0
48,S0,1,1,1,2,3,0
48,S0,1,1,1,2,4,0
48,S0,1,1,1,2,5,0
48,S0,1,1,1,3,0,0
48,S0,1,1,1,3,1,0
48,S0,1,1,1,3,2,0
48,S0,1,1,1,3,3,0
48,S0,1,1,1,3,4,0
48,S0,1,1,1,3,5,0
48,S0,1,1,1,4,0,0
48,S0,1,1,1,4,1,0
48,S0,1,1,1,4,2,0
48,S0,1,1,1,4,3,0
48,S0,1,1,1,4,4,0
48,S0,1,1,1,4,5,0
48,S0,1,1,1,5,0,0
48,S0,1,1,1,5,1,0
48,S0,1,1,1,5,2,0
48,S0,1,1,1,5,3,0
48,S0,1,1,1,5,4,7
48,S0,1,1,1,5,5,43
48,S0,2,2,2,0,0,14
48,S0,2,2,2,0,1,1
48,S0,2,2,2,0,2,0
48,S0,2,2,2,0,3,0
48,S0,2,2,2,0,4,0
48,S0,2,2,2,0,5,0
48,S0,2,2,2,1,0,0
48,S0,2,2,2,1,1,1
48,S0,2,2,2,1,2,9
48,S0,2,2,2,1,3,0
48,S0,2,2,2,1,4,0
48,S0,2,2,2,1,5,0
48,S0,2,2,2,2,0,0
48,S0,2,2,2,2,1,0
48,S0,2,2,2,2,2,0
48,S0,2,2,2,2,3,0
48,S0,2,2,2,2,4,0
48,S0,2,2,2,2,5,0
48,S0,2,2,2,3,0,0
48,S0,2,2,2,3,1,0
48,S0,2,2,2,3,2,0
48,S0,2,2,2,3,3,0
48,S0,2,2,2,3,4,0
48,S0,2,2,2,3,5,0
48,S0,2,2,2,4,0,0
48,S0,2,2,2,4,1,0
48,S0,2,2,2,4,2,0
48,S0,2,2,2,4,3,5
48,S0,2,2,2,4,4,2
48,S0,2,2,2,4,5,0
48,S0,2,2,2,5,0,0
48,S0,2,2,2,5,1,0
48,S0,2,2,2,5,2,0
48,S0,2,2,2,5,3,0
48,S0,2,2,2,5,4,0
48,S0,2,2,2,5,5,43
48,S0,5,3,0,0,0,11
48,S0,5,3,0,0,1,3
48,S0,5,3,0,0,2,0
48,S0,5,3,0,0,3,0
48,S0,5,3,0,0,4,0
48,S0,5,3,0,0,5,0
48,S0,5,3,0,1,0,0
48,S0,5,3,0,1,1,1
48,S0,5,3,0,1,2,1
48,S0,5,3,0,1,3,0
48,S0,5,3,0,1,4,0
48,S0,5,3,0,1,5,0
48,S0,5,3,0,2,0,0
48,S0,5,3,0,2,1,0
48,S0,5,3,0,2,2,0
