seed,setting,example_id,initial_G,final_G,initial_vote_correct,final_vote_correct,first_discovery_update,first_discovering_agent,first_singleton_update,first_reinforcement_update,first_reinforcing_agent,first_vote_conversion_update,initial_repair_distance,min_repair_distance,final_repair_distance,ever_orphan,ever_reinforced,ever_vote_converted,persistent_orphan,coverage_lost_after_discovery
48,S1,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,0,3,False,True,2,[0],2,13,[4],17,3,0,0,True,True,True,False,False
48,S1,f039c420e78404ff03ff216d25a34e192a50a9d8e927d289cc65655d4b003dbb,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,0,3,False,True,1,[0],1,8,[3],13,3,0,0,True,True,True,False,False
48,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,0,3,False,True,1,[0],1,8,[3],13,3,0,0,True,True,True,False,False
48,S1,b4c58570f88ebeac42bb65e3da67debef37c1945f0544b421513dc3721a96da7,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,e39c7bfc2d60a8ac6ae2571f14cc7b9c6092369df29244754b49bd6b186692b6,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,7d2f43d26ab0611f363f94cba746995b986c979de9665a5f34a240ec1eefbe39,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,d3502a28121ff5b6acc422085510fb6e1763290ba2908e65478b8ca48ffd6a43,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,2afc7e9c8ea41e32b67422a0ef8824d2c52275ee5cfc7de22b95c8fbdf022f97,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,8d8270991c6f5e20ded8ee33cc24253fd106b70b74cf38455c52ced1e0979fd4,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,b6e74902855cead0f962991542a66c3f5c5fcf0cc4f97947e3aff7146455f066,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,02c4fb68e34c1a4672fe1f08eae762250b21e853a88c7d12230f791a1e60fd18,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,9df0bc490f9cce42db9952b02ffbf57b27f49b0413fd0de51b4cceb12e32ab9e,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,eaa56e803233e6f91d7c9d15c857370e40a8c6386da1aafa82f0f52416330257,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,c68b63186b95718140cb1dd3286d906e8b02b54173c26260c15c1ae8cad5eeb4,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,e2ed6ca2a4a75717c23060340ff5cc1e63b1197753437bfb370629f3c83d91f5,5,3,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,4c91d834f4b0dffc5275ccba1fc683527222f7e87da1c7681d273f34a590729e,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
