event_id,seed,setting,example_id,creation_update,creation_accepted_rank,creating_target_agent,creating_agent_id,G_before,G_after,vote_before,vote_after,repair_distance_after,first_reinforcement_update,latency_to_reinforcement,reinforcing_agent_ids,first_vote_conversion_update,latency_to_vote_conversion,final_G,final_vote_correct,final_repair_distance,fate,coverage_lost_after_creation
48-S0-0,48,S0,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-1,48,S0,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,1,1,1,1,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S0-2,48,S0,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-3,48,S0,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-4,48,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-5,48,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-6,48,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-7,48,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-8,48,S0,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-9,48,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,1,1,1,1,0,1,False,False,2,2,1,[2],5,2,3,True,0,rescued_to_vote,False
48-S0-10,48,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,2,2,2,0,1,False,False,2,5,1,[0],,,2,False,1,reinforced_but_still_vote_wrong,False
48-S0-11,48,S0,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,5,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S0-12,48,S0,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,5,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S0-13,48,S0,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,5,3,0,0,0,1,False,False,2,,,[],,,1,False,2,singleton_until_end,False
48-S1-0,48,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-1,48,S1,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-2,48,S1,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-3,48,S1,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-4,48,S1,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-5,48,S1,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-6,48,S1,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-7,48,S1,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
48-S1-8,48,S1,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,1,1,0,0,0,1,False,False,2,8,2,[3],13,3,3,True,0,rescued_to_vote,False
