seed,setting,update_index,accepted_update_rank,target_agent_id,target_gain,team_vote_gain_count,team_vote_loss_count,vote_net_gain,oracle_gain,mean_member_gain,new_0_to_1_count,new_0_to_2plus_count,reinforce_1_to_2_count,reinforce_1_to_3plus_count,reinforce_2_to_3plus_count,vote_wrong_to_correct_count,vote_correct_to_wrong_count,new_orphan_count,orphan_rescued_count,persistent_orphan_candidates_created,primary_label
48,S0,1,1,1,3,0,0,0,10,0.6,10,0,0,0,0,0,0,10,0,1,DISCOVERY_DOMINANT
48,S0,2,2,2,5,0,0,0,1,1.0,1,0,9,0,0,0,0,1,0,0,REINFORCEMENT_DOMINANT
48,S0,5,3,0,6,9,2,7,3,1.2,3,0,1,0,9,9,2,3,0,3,MIXED
48,S0,6,4,1,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
48,S1,1,1,0,2,0,0,0,10,0.4,10,0,0,0,0,0,0,10,0,1,DISCOVERY_DOMINANT
48,S1,2,2,0,9,0,0,0,7,1.8,7,0,0,0,0,0,0,7,0,6,DISCOVERY_DOMINANT
48,S1,8,3,3,3,0,0,0,0,0.6,0,0,9,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
48,S1,13,4,4,6,9,1,8,0,1.2,0,0,1,0,9,9,1,0,0,0,MIXED
48,S1,17,5,3,0,1,0,1,0,0.0,0,0,0,0,1,1,0,0,0,0,CONSENSUS_CONVERSION
48,S2,0,1,1,4,0,0,0,12,0.8,12,0,0,0,0,0,0,12,0,1,DISCOVERY_DOMINANT
48,S2,1,2,0,4,0,0,0,0,0.8,0,0,11,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
48,S2,2,3,4,1,8,4,4,1,0.2,1,0,0,0,8,8,4,1,0,1,CONSENSUS_CONVERSION
48,S2,4,4,4,3,2,1,1,0,0.6,0,0,0,0,2,2,1,0,0,0,CONSENSUS_CONVERSION
48,S2,10,5,1,1,1,0,1,1,0.2,1,0,0,0,1,1,0,1,0,1,CONSENSUS_CONVERSION
48,S2,16,6,0,1,1,0,1,1,0.2,1,0,1,0,1,1,0,1,0,1,MIXED
48,S2,22,7,4,2,1,0,1,0,0.4,0,0,0,0,1,1,0,0,0,0,CONSENSUS_CONVERSION
49,S0,1,1,1,3,0,0,0,12,0.6,12,0,0,0,0,0,0,12,0,0,DISCOVERY_DOMINANT
49,S0,6,2,1,3,0,0,0,-1,0.6,5,0,0,0,0,0,0,5,0,0,DISCOVERY_DOMINANT
49,S0,9,3,4,5,0,0,0,0,1.0,0,0,10,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
49,S0,13,4,3,1,8,4,4,0,0.2,0,0,0,0,8,8,4,0,0,0,CONSENSUS_CONVERSION
49,S0,18,5,3,4,3,1,2,0,0.8,0,0,1,0,3,3,1,0,0,0,MIXED
49,S1,0,1,0,2,0,0,0,11,0.4,11,0,0,0,0,0,0,11,0,0,DISCOVERY_DOMINANT
49,S1,1,2,1,3,0,0,0,2,0.6,2,0,7,0,0,0,0,2,0,1,REINFORCEMENT_DOMINANT
49,S1,3,3,0,3,0,0,0,3,0.6,4,0,1,0,0,0,0,4,0,4,DISCOVERY_DOMINANT
49,S1,4,4,2,5,6,2,4,0,1.0,0,0,5,0,6,6,2,0,0,0,MIXED
49,S1,5,5,4,6,5,3,2,0,1.2,0,0,0,0,5,5,3,0,0,0,CONSENSUS_CONVERSION
49,S1,11,6,1,1,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
49,S1,13,7,0,4,0,0,0,3,0.8,3,0,0,0,0,0,0,3,0,3,DISCOVERY_DOMINANT
49,S1,15,8,1,1,1,1,0,2,0.2,2,0,0,0,1,1,1,2,0,2,MIXED
49,S2,0,1,0,6,0,0,0,12,1.2,12,0,0,0,0,0,0,12,0,1,DISCOVERY_DOMINANT
49,S2,1,2,4,4,0,0,0,0,0.8,0,0,10,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
49,S2,2,3,2,3,9,4,5,0,0.6,0,0,1,0,9,9,4,0,0,0,MIXED
49,S2,4,4,1,6,2,0,2,3,1.2,3,0,0,0,2,2,0,3,0,2,MIXED
49,S2,9,5,2,2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
49,S2,13,6,0,1,0,0,0,2,0.2,2,0,0,0,0,0,0,2,0,2,DISCOVERY_DOMINANT
49,S2,14,7,4,1,1,0,1,0,0.2,0,0,0,0,1,1,0,0,0,0,CONSENSUS_CONVERSION
49,S2,15,8,2,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
49,S2,24,9,4,2,0,0,0,0,0.4,0,0,2,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
50,S0,1,1,1,4,0,0,0,9,0.8,9,0,0,0,0,0,0,9,0,0,DISCOVERY_DOMINANT
50,S0,7,2,2,1,0,0,0,1,0.2,1,0,8,0,0,0,0,1,0,0,REINFORCEMENT_DOMINANT
50,S0,14,3,4,4,8,4,4,0,0.8,0,0,2,0,8,8,4,0,0,0,MIXED
50,S1,1,1,3,2,0,0,0,9,0.4,9,0,0,0,0,0,0,9,0,0,DISCOVERY_DOMINANT
50,S1,3,2,3,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
50,S1,4,3,0,1,0,0,0,1,0.2,1,0,7,0,0,0,0,1,0,0,REINFORCEMENT_DOMINANT
50,S1,7,4,4,2,5,4,1,2,0.4,2,0,3,0,5,5,4,2,0,2,MIXED
50,S1,16,5,2,0,4,1,3,0,0.0,0,0,0,0,4,4,1,0,0,0,CONSENSUS_CONVERSION
50,S1,20,6,2,4,0,0,0,0,0.8,0,0,1,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
50,S1,31,7,2,0,1,0,1,0,0.0,0,0,0,0,1,1,0,0,0,0,CONSENSUS_CONVERSION
50,S2,0,1,0,4,0,0,0,12,0.8,12,0,0,0,0,0,0,12,0,1,DISCOVERY_DOMINANT
50,S2,1,2,3,4,0,0,0,0,0.8,0,0,9,0,0,0,0,0,0,0,REINFORCEMENT_DOMINANT
50,S2,2,3,4,1,8,2,6,0,0.2,0,0,0,0,8,8,2,0,0,0,CONSENSUS_CONVERSION
50,S2,4,4,4,1,0,0,0,1,0.2,1,0,0,0,0,0,0,1,0,0,DISCOVERY_DOMINANT
50,S2,6,5,4,1,0,0,0,-1,0.2,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
50,S2,7,6,4,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,NO_MEANINGFUL_COVERAGE_CHANGE
50,S2,13,7,2,4,1,1,0,2,0.8,2,0,1,0,1,1,1,2,0,2,MIXED
50,S2,14,8,3,1,1,0,1,0,0.2,0,0,0,0,1,1,0,0,0,0,CONSENSUS_CONVERSION
50,S2,19,9,2,2,0,0,0,1,0.4,1,0,2,0,0,0,0,1,0,1,REINFORCEMENT_DOMINANT
