case_id,repair_candidate_hash,repair_critical_gain,repair_critical_loss,repair_critical_net,repair_new_pivotal_gained,repair_new_unique_gained,repair_old_pivotal_lost,repair_old_unique_lost,repair_oracle_delta,repair_oracle_gain,repair_oracle_loss,repair_responsibility_repair,repair_responsibility_to_noncritical_correct,repair_responsibility_to_oracle_gain,repair_responsibility_to_pivotal,repair_responsibility_to_unique,repair_responsibility_to_vote_conversion,repair_vote_gain,repair_vote_loss,repair_vote_net,seed,source_candidate_hash,source_critical_gain,source_critical_loss,source_critical_net,source_new_pivotal_gained,source_new_unique_gained,source_old_pivotal_lost,source_old_unique_lost,source_oracle_delta,source_oracle_gain,source_oracle_loss,source_responsibility_repair,source_responsibility_to_noncritical_correct,source_responsibility_to_oracle_gain,source_responsibility_to_pivotal,source_responsibility_to_unique,source_responsibility_to_vote_conversion,source_vote_gain,source_vote_loss,source_vote_net,target_agent_id
seed48_structural_parent1_target0,c248c717527e18ef37de770c134d651c882c7b7eb18e25efcf873d9cbe08a11d,4,0,4,0,4,0,0,4,4,0,1,1,0,0,0,0,0,0,0,48,3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
seed48_structural_parent1_target0,e2cf617ddfaf2212a694447b905674aac1c9360a5e60f7777b93a95f64b69985,2,0,2,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,48,df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,2,0,2,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0
seed48_structural_parent2_target4,1122fea01632e621ffaa37ffbf5e3665a1b8886d972627158ef301b60b70b276,9,6,3,9,0,6,0,0,0,0,2,0,0,2,0,2,9,6,3,48,2249467342abe57b0f01f7aaa251153ceeb91f0bfddf1b030e1fb4e862b4d20f,7,4,3,6,1,4,0,1,1,0,1,0,0,1,0,1,6,4,2,4
seed48_structural_parent2_target4,3dc6d75ff4905a40afc80865fbeda4103ea8d09121145f6059df1c460bacc44b,10,4,6,8,2,4,0,2,2,0,2,0,0,2,0,2,8,4,4,48,c06c7420a7252455b29066ba2990a4a749d7893f86dffd591a89ddce96438481,8,4,4,6,2,4,0,2,2,0,2,0,0,2,0,2,6,4,2,4
seed50_structural_parent1_target3,1c5ee3ac4d725342b13aa56a5700a29186ef149a2d453ee93441e756b08c2c45,1,0,1,0,1,0,0,1,1,0,3,3,0,0,0,0,0,0,0,50,62c02b9dbd25d08c910dbc1d672926981279763d16e1bbdff1b2efac85fc14d2,2,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,3
seed50_structural_parent1_target3,e611977c58865d8a16458b4c2b64e9e5c882f96ebd6ff577a9a099c8dd327cea,1,0,1,0,1,0,0,1,1,0,3,3,0,0,0,0,0,0,0,50,d70344b3a14adafd45fb4ff7a265928e27426c9ca11f7480004399b1f4ffa6a3,1,0,1,0,1,0,0,1,1,0,3,3,0,0,0,0,0,0,0,3
seed50_structural_parent2_target4,75055c8e307ddded18e17659e9fa089c2ea7cbce5c846c3b717c548f33b02297,8,3,5,8,0,3,0,0,0,0,3,0,0,3,0,3,8,3,5,50,18289914279d8f2c62ef67d95ef79055e551ca221ea2318ee9b15e0cbcbb131f,7,2,5,7,0,2,0,0,0,0,3,0,0,3,0,3,7,2,5,4
