seed,arm,updates,commits,distinct_members_updated,student_reaches,feasible_candidates,validation_vote_correct,validation_vote_acc,validation_oracle_correct,validation_oracle_acc,train_vote_correct,train_vote_acc,train_oracle_correct,train_oracle_acc,member_correct_counts,coverage_recovery_0_to_1,support_deepening_1_to_2plus,coverage_to_vote_conversion,cross_member_accumulation,persistent_singleton_coverage
68,A_CANONICAL,8,2,2,2,2,33,0.66,39,0.78,51,0.68,64,0.8533333333333334,"[33,33,33,28,30]",6,2,0,2,4
68,C_NO_SEMANTIC_CRITIC,8,5,5,14,12,34,0.68,42,0.84,64,0.8533333333333334,69,0.92,"[37,28,35,34,34]",9,6,5,6,3
