case_id,seed,target_agent_id,source_candidate_hash,repair_candidate_hash,source_target_gain,repair_target_gain,source_responsibility_gain,repair_total_responsibility_gain,retained_source_repairs,lost_source_repairs,new_responsibility_repairs,targeting_retention,source_nonresponsibility_loss,repair_nonresponsibility_loss,collateral_reduction,recovered_loss,persistent_loss,new_loss,source_stable_loss,repair_stable_loss,recovered_stable,persistent_stable,new_stable,source_pivotal_loss,repair_pivotal_loss,recovered_pivotal,persistent_pivotal,new_pivotal,source_vote_gain,source_vote_loss,source_vote_net,repair_vote_gain,repair_vote_loss,repair_vote_net,source_geometry,repair_geometry,source_common_safe,repair_common_safe,compatibility_rescue,terminal_invalid_delta
seed48_structural_parent1_target0,48,0,3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,c248c717527e18ef37de770c134d651c882c7b7eb18e25efcf873d9cbe08a11d,-8,-8,1,1,1,0,0,1.0,12,14,-0.16666666666666674,5,7,7,12,14,5,7,7,0,0,0,0,0,0,0,0,0,0,0,F,F,False,False,False,0
seed48_structural_parent1_target0,48,0,df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,e2cf617ddfaf2212a694447b905674aac1c9360a5e60f7777b93a95f64b69985,-12,-14,1,1,1,0,0,1.0,17,18,-0.05882352941176472,1,16,2,17,18,1,16,2,0,0,0,0,0,0,0,0,0,0,0,F,F,False,False,False,0
seed48_structural_parent2_target4,48,4,2249467342abe57b0f01f7aaa251153ceeb91f0bfddf1b030e1fb4e862b4d20f,1122fea01632e621ffaa37ffbf5e3665a1b8886d972627158ef301b60b70b276,-2,2,1,2,1,0,1,1.0,9,7,0.2222222222222222,4,5,2,5,1,4,1,0,4,6,0,4,2,6,4,2,9,6,3,E,A,False,True,True,0
seed48_structural_parent2_target4,48,4,c06c7420a7252455b29066ba2990a4a749d7893f86dffd591a89ddce96438481,3dc6d75ff4905a40afc80865fbeda4103ea8d09121145f6059df1c460bacc44b,-1,4,2,2,2,0,0,1.0,9,6,0.33333333333333337,3,6,0,5,2,3,2,0,4,4,0,4,0,6,4,2,8,4,4,E,A,False,True,True,0
seed50_structural_parent1_target3,50,3,62c02b9dbd25d08c910dbc1d672926981279763d16e1bbdff1b2efac85fc14d2,1c5ee3ac4d725342b13aa56a5700a29186ef149a2d453ee93441e756b08c2c45,-5,-3,2,3,2,0,1,1.0,11,11,0.0,0,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,F,F,False,False,False,0
seed50_structural_parent1_target3,50,3,d70344b3a14adafd45fb4ff7a265928e27426c9ca11f7480004399b1f4ffa6a3,e611977c58865d8a16458b4c2b64e9e5c882f96ebd6ff577a9a099c8dd327cea,-4,-2,3,3,3,0,0,1.0,11,10,0.09090909090909094,2,9,1,11,10,2,9,1,0,0,0,0,0,0,0,0,0,0,0,F,F,False,False,False,0
seed50_structural_parent2_target4,50,4,18289914279d8f2c62ef67d95ef79055e551ca221ea2318ee9b15e0cbcbb131f,75055c8e307ddded18e17659e9fa089c2ea7cbce5c846c3b717c548f33b02297,-1,2,3,3,3,0,0,1.0,8,6,0.25,4,4,2,6,3,4,2,1,2,3,0,2,1,7,2,5,8,3,5,E,A,False,True,True,0
