all_same_pair_rate,baseline_only,candidate_family_shift_rate,candidate_invalid_delta,candidate_rho_reduction,candidate_summary_embedding_shift,critic_model,disagreement_rate,early_stopped,eval_size,has_probe_targets,history_last_epoch,init_mode,lambda_diversity,lambda_homogeneity,latest_test_mean_family_diversity,latest_test_mean_family_homogeneity_rate,latest_test_mean_llm_direct_diversity_score,latest_test_size,latest_test_vote_acc,latest_train_mean_family_diversity,latest_train_mean_family_homogeneity_rate,latest_train_mean_llm_direct_diversity_score,latest_train_vote_acc,low_confidence_share,macro_diversity_weight,major_disagreement_rate,mean_family_confidence,mean_family_diversity,mean_family_homogeneity_rate,mean_intra_family_diversity,mean_major_family_diversity,mean_updated_agents,model,optimization_signal_rate,prediction_file,probe_kind,probe_name,run_dir,run_name,same_major_family_weight,seed,selected_epoch,target_exact_hit_rate,target_same_major_hit_rate,train_steps,update_applied_rate,vote_acc
0.02,1,,,,,gpt-4o-mini,0.1,,100,1,1,shared,0.0,0.0,0.5564244627003532,0.4744781397336192,0.0,100,0.91,0.0,0.0,0.0,0.0,0.038,0.5,0.512,0.8178,0.5564244627003532,0.4744781397336192,0.35449584857595734,0.7583530768247491,,deepseek-chat,,prove_experiments\p3_analysis_runs\P3_mixed_strategy_deepseek_chat_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\p3_analysis_runs\P3_mixed_strategy_deepseek_chat_seed42,P3_mixed_strategy_deepseek_chat_seed42,0.5,42,,0.274,0.364,0,,0.91
0.15,1,,,,,gpt-4o-mini,0.35,,100,1,1,shared,0.0,0.0,0.45331902409459196,0.7588204184346397,0.0,100,0.81,0.0,0.0,0.0,0.0,0.002,0.5,0.231,0.8482999999999999,0.45331902409459196,0.7588204184346397,0.5139176323162304,0.39272041587295337,,gemini-2.5-flash-lite,,prove_experiments\p3_analysis_runs\P3_mixed_strategy_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\p3_analysis_runs\P3_mixed_strategy_gemini_flash_lite_seed42,P3_mixed_strategy_gemini_flash_lite_seed42,0.5,42,,0.068,0.23,0,,0.81
0.05,1,,,,,gpt-4o-mini,0.18,,100,1,1,shared,0.0,0.0,0.48069210394999456,0.7156540320002425,0.0,100,0.86,0.0,0.0,0.0,0.0,0.018000000000000002,0.5,0.265,0.8347,0.4806921039499946,0.7156540320002425,0.5370957256291392,0.42428848227085003,,gpt-4o-mini,,prove_experiments\p3_analysis_runs\P3_mixed_strategy_gpt4omini_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\p3_analysis_runs\P3_mixed_strategy_gpt4omini_seed42,P3_mixed_strategy_gpt4omini_seed42,0.5,42,,0.136,0.25,0,,0.86
0.03,1,,,,,gpt-4o-mini,0.33,,100,1,1,shared,0.0,0.0,0.6280853242015603,0.4536270908339111,0.0,100,0.77,0.0,0.0,0.0,0.0,0.012,0.5,0.5,0.84,0.6280853242015603,0.4536270908339111,0.5259320779745302,0.7302385704285904,,qwen2.5-7b-instruct,,prove_experiments\p3_analysis_runs\P3_mixed_strategy_qwen25_7b_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\p3_analysis_runs\P3_mixed_strategy_qwen25_7b_seed42,P3_mixed_strategy_qwen25_7b_seed42,0.5,42,,0.272,0.38,0,,0.77
0.1,1,,,,,gpt-4o-mini,0.11,,100,1,1,shared,0.0,0.0,0.45631548818745815,0.6625448973516107,0.0,100,0.93,0.0,0.0,0.0,0.0,0.024,0.5,0.316,0.8296,0.45631548818745815,0.6625448973516107,0.41033047155336333,0.502300504821553,,deepseek-chat,,prove_experiments\p3_analysis_runs\P3_same_elimination_deepseek_chat_seed42\test_epoch1_predictions.jsonl,same,same_elimination_mmlu,prove_experiments\p3_analysis_runs\P3_same_elimination_deepseek_chat_seed42,P3_same_elimination_deepseek_chat_seed42,0.5,42,,0.524,0.54,0,,0.93
0.19,1,,,,,gpt-4o-mini,0.38,,100,1,1,shared,0.0,0.0,0.4123573621452577,0.8057508227122606,0.0,100,0.79,0.0,0.0,0.0,0.0,0.002,0.5,0.171,0.8489,0.4123573621452577,0.8057508227122606,0.5085046783276397,0.3162100459628758,,gemini-2.5-flash-lite,,prove_experiments\p3_analysis_runs\P3_same_elimination_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,same,same_elimination_mmlu,prove_experiments\p3_analysis_runs\P3_same_elimination_gemini_flash_lite_seed42,P3_same_elimination_gemini_flash_lite_seed42,0.5,42,,0.734,0.746,0,,0.79
0.18,1,,,,,gpt-4o-mini,0.13,,100,1,1,shared,0.0,0.0,0.3395039909261685,0.8565864371931109,0.0,100,0.86,0.0,0.0,0.0,0.0,0.016,0.5,0.126,0.8363999999999999,0.33950399092616845,0.8565864371931109,0.46343385068339604,0.2155741311689409,,gpt-4o-mini,,prove_experiments\p3_analysis_runs\P3_same_elimination_gpt4omini_seed42\test_epoch1_predictions.jsonl,same,same_elimination_mmlu,prove_experiments\p3_analysis_runs\P3_same_elimination_gpt4omini_seed42,P3_same_elimination_gpt4omini_seed42,0.5,42,,0.808,0.824,0,,0.86
0.04,1,,,,,gpt-4o-mini,0.37,,100,1,1,shared,0.0,0.0,0.4953044760335486,0.6912544921419976,0.0,100,0.76,0.0,0.0,0.0,0.0,0.016,0.5,0.194,0.8364,0.49530447603354855,0.6912544921419976,0.6973032714475985,0.2933056806194986,,qwen2.5-7b-instruct,,prove_experiments\p3_analysis_runs\P3_same_elimination_qwen25_7b_seed42\test_epoch1_predictions.jsonl,same,same_elimination_mmlu,prove_experiments\p3_analysis_runs\P3_same_elimination_qwen25_7b_seed42,P3_same_elimination_qwen25_7b_seed42,0.5,42,,0.616,0.814,0,,0.76
