selector,component,outcome,n,spearman
ALL,w1_score,valid_source_count,48,-0.1382710514706702
ALL,w1_score,feasible_count,48,-0.1423992769594512
ALL,w1_score,cell_winner,48,-0.12756249193674615
ALL,w1_score,validation_vote_delta,9,0.5245339546351765
ALL,w1_score,validation_oracle_delta,9,-0.026919095102908276
ALL,Dhat,valid_source_count,48,-0.21804643735975734
ALL,Dhat,feasible_count,48,-0.1275976541039751
ALL,Dhat,cell_winner,48,-0.10928785526692202
ALL,Dhat,validation_vote_delta,9,0.6137378162887286
ALL,Dhat,validation_oracle_delta,9,0.34121792702221904
ALL,Shat,valid_source_count,48,0.30154946529880017
ALL,Shat,feasible_count,48,0.1184836968716703
ALL,Shat,cell_winner,48,0.0765528708976889
ALL,Shat,validation_vote_delta,9,-0.6378150482030709
ALL,Shat,validation_oracle_delta,9,-0.600099198148979
ALL,dhat,valid_source_count,48,-0.2795146266925717
ALL,dhat,feasible_count,48,-0.26322525798856894
ALL,dhat,cell_winner,48,-0.22645540682891915
ALL,dhat,validation_vote_delta,9,-0.1875
ALL,dhat,validation_oracle_delta,9,-0.21650635094610965
ALL,normalized_wait,valid_source_count,48,0.08760523689237874
ALL,normalized_wait,feasible_count,48,0.16625201388376343
ALL,normalized_wait,cell_winner,48,0.20001171978006885
ALL,normalized_wait,validation_vote_delta,9,-0.34092648378637114
ALL,normalized_wait,validation_oracle_delta,9,0.45198917872784833
ALL,failure_count,valid_source_count,48,0.0567691002209231
ALL,failure_count,feasible_count,48,-0.10614823096673387
ALL,failure_count,cell_winner,48,-0.10016708449412666
ALL,failure_count,validation_vote_delta,9,
ALL,failure_count,validation_oracle_delta,9,
ALL,historical_target_count,valid_source_count,48,-0.21698359442761167
ALL,historical_target_count,feasible_count,48,-0.29345776839546445
ALL,historical_target_count,cell_winner,48,-0.375208286999466
ALL,historical_target_count,validation_vote_delta,9,0.21957751641341997
ALL,historical_target_count,validation_oracle_delta,9,0.0939060283031685
RR,w1_score,valid_source_count,24,-0.019003040729794616
RR,w1_score,feasible_count,24,-0.05263765474293814
RR,w1_score,cell_winner,24,-0.02797271194322297
RR,w1_score,validation_vote_delta,6,0.8231932086840424
RR,w1_score,validation_oracle_delta,6,-0.01565560727712874
RR,Dhat,valid_source_count,24,-0.10358428571804387
RR,Dhat,feasible_count,24,-0.13189261473868505
RR,Dhat,cell_winner,24,-0.09345386270319954
RR,Dhat,validation_vote_delta,6,0.9797958971132713
RR,Dhat,validation_oracle_delta,6,0.33541019662496846
RR,Shat,valid_source_count,24,0.17946212584923055
RR,Shat,feasible_count,24,0.1933576778615508
RR,Shat,cell_winner,24,0.11605177063713189
RR,Shat,validation_vote_delta,6,-0.8231932086840424
RR,Shat,validation_oracle_delta,6,-0.7045023274707932
RR,dhat,valid_source_count,24,-0.20435597284239979
RR,dhat,feasible_count,24,-0.27207836985740397
RR,dhat,cell_winner,24,-0.2041241452319315
RR,dhat,validation_vote_delta,6,-0.30983866769659335
RR,dhat,validation_oracle_delta,6,-0.1414213562373095
RR,normalized_wait,valid_source_count,24,0.005277504136509363
RR,normalized_wait,feasible_count,24,0.05439290217213439
RR,normalized_wait,cell_winner,24,0.11808198473867937
RR,normalized_wait,validation_vote_delta,6,0.0
RR,normalized_wait,validation_oracle_delta,6,0.5809475019311126
RR,failure_count,valid_source_count,24,
RR,failure_count,feasible_count,24,
RR,failure_count,cell_winner,24,
RR,failure_count,validation_vote_delta,6,
RR,failure_count,validation_oracle_delta,6,
RR,historical_target_count,valid_source_count,24,-0.14005862462806296
RR,historical_target_count,feasible_count,24,-0.1452331554188588
RR,historical_target_count,cell_winner,24,-0.3188412630719939
RR,historical_target_count,validation_vote_delta,6,-0.21908902300206642
RR,historical_target_count,validation_oracle_delta,6,0.31666666666666665
W1,w1_score,valid_source_count,24,-0.2394019813451934
W1,w1_score,feasible_count,24,-0.11686159857648112
W1,w1_score,cell_winner,24,-0.12773807700531709
W1,w1_score,validation_vote_delta,3,
W1,w1_score,validation_oracle_delta,3,0.5
W1,Dhat,valid_source_count,24,-0.2877772315344771
W1,Dhat,feasible_count,24,-0.05313439274922515
W1,Dhat,cell_winner,24,-0.06388765649999399
W1,Dhat,validation_vote_delta,3,
W1,Dhat,validation_oracle_delta,3,0.5
W1,Shat,valid_source_count,24,0.413552762678722
W1,Shat,feasible_count,24,0.047661215647408516
W1,Shat,cell_winner,24,0.05730682550612528
W1,Shat,validation_vote_delta,3,
W1,Shat,validation_oracle_delta,3,-0.5
W1,dhat,valid_source_count,24,-0.353633443439447
W1,dhat,feasible_count,24,-0.26673253468463226
W1,dhat,cell_winner,24,-0.2672612419124244
W1,dhat,validation_vote_delta,3,
W1,dhat,validation_oracle_delta,3,
W1,normalized_wait,valid_source_count,24,0.18349485125382886
W1,normalized_wait,feasible_count,24,0.36476392095841276
W1,normalized_wait,cell_winner,24,0.3654869423239036
W1,normalized_wait,validation_vote_delta,3,
W1,normalized_wait,validation_oracle_delta,3,
W1,failure_count,valid_source_count,24,0.08983222540938544
W1,failure_count,feasible_count,24,-0.1137351349402226
W1,failure_count,cell_winner,24,-0.11396057645963795
W1,failure_count,validation_vote_delta,3,
W1,failure_count,validation_oracle_delta,3,
W1,historical_target_count,valid_source_count,24,-0.32535383788378475
W1,historical_target_count,feasible_count,24,-0.5786241086426785
W1,historical_target_count,cell_winner,24,-0.5797710356524485
W1,historical_target_count,validation_vote_delta,3,
W1,historical_target_count,validation_oracle_delta,3,
