seed_scope,variant,branch_update_count,fixed_pool_ideal_available_count,fixed_pool_ideal_availability_rate
48,C0_CURRENT_V15,49,5,0.10204081632653061
48,C1_BOUNDARY_PROPAGATION,49,7,0.14285714285714285
48,C2_BOUNDARY_PLUS_PRESERVATION,49,3,0.061224489795918366
48,C3_COALITION_AWARE_PRESERVATION,49,3,0.061224489795918366
49,C0_CURRENT_V15,50,6,0.12
49,C1_BOUNDARY_PROPAGATION,50,7,0.14
49,C2_BOUNDARY_PLUS_PRESERVATION,50,4,0.08
49,C3_COALITION_AWARE_PRESERVATION,50,4,0.08
50,C0_CURRENT_V15,38,4,0.10526315789473684
50,C1_BOUNDARY_PROPAGATION,38,4,0.10526315789473684
50,C2_BOUNDARY_PLUS_PRESERVATION,38,1,0.02631578947368421
50,C3_COALITION_AWARE_PRESERVATION,38,1,0.02631578947368421
all,C0_CURRENT_V15,137,15,0.10948905109489052
all,C1_BOUNDARY_PROPAGATION,137,18,0.13138686131386862
all,C2_BOUNDARY_PLUS_PRESERVATION,137,8,0.058394160583941604
all,C3_COALITION_AWARE_PRESERVATION,137,8,0.058394160583941604
