seed_scope,variant,candidate_count,aligned_candidate_count,aligned_candidate_rate,mean_repair_set_gain_count,mean_preservation_violation_count
48,C0_CURRENT_V15,87,19,0.21839080459770116,0.26436781609195403,0
48,C1_BOUNDARY_PROPAGATION,87,44,0.5057471264367817,0.6551724137931034,0
48,C2_BOUNDARY_PLUS_PRESERVATION,87,11,0.12643678160919541,0.6551724137931034,1.2298850574712643
48,C3_COALITION_AWARE_PRESERVATION,87,11,0.12643678160919541,0.6551724137931034,1.2298850574712643
49,C0_CURRENT_V15,91,29,0.31868131868131866,0.3626373626373626,0
49,C1_BOUNDARY_PROPAGATION,91,34,0.37362637362637363,0.5934065934065934,0
49,C2_BOUNDARY_PLUS_PRESERVATION,91,4,0.04395604395604396,0.5934065934065934,1.5604395604395604
49,C3_COALITION_AWARE_PRESERVATION,91,4,0.04395604395604396,0.5934065934065934,1.5604395604395604
50,C0_CURRENT_V15,69,20,0.2898550724637681,0.37681159420289856,0
50,C1_BOUNDARY_PROPAGATION,69,22,0.3188405797101449,0.5217391304347826,0
50,C2_BOUNDARY_PLUS_PRESERVATION,69,5,0.07246376811594203,0.5217391304347826,1.2173913043478262
50,C3_COALITION_AWARE_PRESERVATION,69,5,0.07246376811594203,0.5217391304347826,1.2173913043478262
all,C0_CURRENT_V15,247,68,0.27530364372469635,0.3319838056680162,0
all,C1_BOUNDARY_PROPAGATION,247,100,0.4048582995951417,0.5951417004048583,0
all,C2_BOUNDARY_PLUS_PRESERVATION,247,20,0.08097165991902834,0.5951417004048583,1.3481781376518218
all,C3_COALITION_AWARE_PRESERVATION,247,20,0.08097165991902834,0.5951417004048583,1.3481781376518218
