seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,1,1,0,5dae61c8dcf9cf5bc70427df36553bb2d18cbf86179f5c5facd90fc4da0c7af7,C3_COALITION_AWARE_PRESERVATION,F,False,False,1,0,0,0,0,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,1,1,df01019c68305e06e371254a5b024aae35507db89d7abf23358f629d9625f0a0,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,1,1,df01019c68305e06e371254a5b024aae35507db89d7abf23358f629d9625f0a0,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,1,1,df01019c68305e06e371254a5b024aae35507db89d7abf23358f629d9625f0a0,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,1,1,df01019c68305e06e371254a5b024aae35507db89d7abf23358f629d9625f0a0,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,0,0e96fd4f921e5164c11f6d739d1faa38866bdb21d30a10cb0d6a2e5b8e5bbdce,C0_CURRENT_V15,B,True,True,2,0,0,2,0,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,0,0e96fd4f921e5164c11f6d739d1faa38866bdb21d30a10cb0d6a2e5b8e5bbdce,C1_BOUNDARY_PROPAGATION,B,True,True,3,0,0,3,0,3,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,0,0e96fd4f921e5164c11f6d739d1faa38866bdb21d30a10cb0d6a2e5b8e5bbdce,C2_BOUNDARY_PLUS_PRESERVATION,B,True,True,3,0,0,3,0,3,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,0,0e96fd4f921e5164c11f6d739d1faa38866bdb21d30a10cb0d6a2e5b8e5bbdce,C3_COALITION_AWARE_PRESERVATION,B,True,True,3,0,0,3,0,3,0,1,0,1,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,1,0,1,d1ad747d52292f44fb1cca28a12a587918d60f1c265101358ec0dfaf54715e3f,C0_CURRENT_V15,B,True,False,2,0,0,2,0,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
