seed_scope,variant,geometry_scope,violation_scope,candidate_count,any_preservation_violation_count,any_preservation_violation_rate,mean_preservation_loss_count
48,C0_CURRENT_V15,AB,P1,10,0,0.0,0
48,C0_CURRENT_V15,AB,P2,10,0,0.0,0
48,C0_CURRENT_V15,AB,P1P2,10,0,0.0,0
48,C0_CURRENT_V15,AB,ALL,10,0,0.0,0
48,C0_CURRENT_V15,D,P1,12,0,0.0,0
48,C0_CURRENT_V15,D,P2,12,0,0.0,0
48,C0_CURRENT_V15,D,P1P2,12,0,0.0,0
48,C0_CURRENT_V15,D,ALL,12,0,0.0,0
48,C0_CURRENT_V15,F,P1,62,0,0.0,0
48,C0_CURRENT_V15,F,P2,62,0,0.0,0
48,C0_CURRENT_V15,F,P1P2,62,0,0.0,0
48,C0_CURRENT_V15,F,ALL,62,0,0.0,0
48,C0_CURRENT_V15,DF,P1,74,0,0.0,0
48,C0_CURRENT_V15,DF,P2,74,0,0.0,0
48,C0_CURRENT_V15,DF,P1P2,74,0,0.0,0
48,C0_CURRENT_V15,DF,ALL,74,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,AB,P1,10,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,AB,P2,10,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,AB,P1P2,10,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,AB,ALL,10,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,D,P1,12,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,D,P2,12,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,D,P1P2,12,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,D,ALL,12,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,F,P1,62,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,F,P2,62,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,F,P1P2,62,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,F,ALL,62,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,DF,P1,74,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,DF,P2,74,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,DF,P1P2,74,0,0.0,0
48,C1_BOUNDARY_PROPAGATION,DF,ALL,74,0,0.0,0
48,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1,10,1,0.1,0.4
48,C2_BOUNDARY_PLUS_PRESERVATION,AB,P2,10,5,0.5,0.5
48,C2_BOUNDARY_PLUS_PRESERVATION,AB,P1P2,10,6,0.6,0.9
48,C2_BOUNDARY_PLUS_PRESERVATION,AB,ALL,10,6,0.6,0.9
48,C2_BOUNDARY_PLUS_PRESERVATION,D,P1,12,12,1.0,3.1666666666666665
48,C2_BOUNDARY_PLUS_PRESERVATION,D,P2,12,1,0.08333333333333333,0.08333333333333333
48,C2_BOUNDARY_PLUS_PRESERVATION,D,P1P2,12,12,1.0,3.25
48,C2_BOUNDARY_PLUS_PRESERVATION,D,ALL,12,12,1.0,3.25
48,C2_BOUNDARY_PLUS_PRESERVATION,F,P1,62,37,0.5967741935483871,0.7580645161290323
48,C2_BOUNDARY_PLUS_PRESERVATION,F,P2,62,5,0.08064516129032258,0.08064516129032258
48,C2_BOUNDARY_PLUS_PRESERVATION,F,P1P2,62,39,0.6290322580645161,0.8387096774193549
48,C2_BOUNDARY_PLUS_PRESERVATION,F,ALL,62,39,0.6290322580645161,0.8387096774193549
48,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1,74,49,0.6621621621621622,1.1486486486486487
48,C2_BOUNDARY_PLUS_PRESERVATION,DF,P2,74,6,0.08108108108108109,0.08108108108108109
48,C2_BOUNDARY_PLUS_PRESERVATION,DF,P1P2,74,51,0.6891891891891891,1.2297297297297298
48,C2_BOUNDARY_PLUS_PRESERVATION,DF,ALL,74,51,0.6891891891891891,1.2297297297297298
48,C3_COALITION_AWARE_PRESERVATION,AB,P1,10,1,0.1,0.4
48,C3_COALITION_AWARE_PRESERVATION,AB,P2,10,5,0.5,0.5
48,C3_COALITION_AWARE_PRESERVATION,AB,P1P2,10,6,0.6,0.9
48,C3_COALITION_AWARE_PRESERVATION,AB,ALL,10,6,0.6,0.9
48,C3_COALITION_AWARE_PRESERVATION,D,P1,12,12,1.0,3.1666666666666665
48,C3_COALITION_AWARE_PRESERVATION,D,P2,12,1,0.08333333333333333,0.08333333333333333
48,C3_COALITION_AWARE_PRESERVATION,D,P1P2,12,12,1.0,3.25
48,C3_COALITION_AWARE_PRESERVATION,D,ALL,12,12,1.0,3.25
48,C3_COALITION_AWARE_PRESERVATION,F,P1,62,37,0.5967741935483871,0.7580645161290323
48,C3_COALITION_AWARE_PRESERVATION,F,P2,62,5,0.08064516129032258,0.08064516129032258
48,C3_COALITION_AWARE_PRESERVATION,F,P1P2,62,39,0.6290322580645161,0.8387096774193549
48,C3_COALITION_AWARE_PRESERVATION,F,ALL,62,39,0.6290322580645161,0.8387096774193549
48,C3_COALITION_AWARE_PRESERVATION,DF,P1,74,49,0.6621621621621622,1.1486486486486487
48,C3_COALITION_AWARE_PRESERVATION,DF,P2,74,6,0.08108108108108109,0.08108108108108109
48,C3_COALITION_AWARE_PRESERVATION,DF,P1P2,74,51,0.6891891891891891,1.2297297297297298
48,C3_COALITION_AWARE_PRESERVATION,DF,ALL,74,51,0.6891891891891891,1.2297297297297298
49,C0_CURRENT_V15,AB,P1,12,0,0.0,0
49,C0_CURRENT_V15,AB,P2,12,0,0.0,0
49,C0_CURRENT_V15,AB,P1P2,12,0,0.0,0
49,C0_CURRENT_V15,AB,ALL,12,0,0.0,0
49,C0_CURRENT_V15,D,P1,11,0,0.0,0
49,C0_CURRENT_V15,D,P2,11,0,0.0,0
49,C0_CURRENT_V15,D,P1P2,11,0,0.0,0
49,C0_CURRENT_V15,D,ALL,11,0,0.0,0
49,C0_CURRENT_V15,F,P1,63,0,0.0,0
49,C0_CURRENT_V15,F,P2,63,0,0.0,0
49,C0_CURRENT_V15,F,P1P2,63,0,0.0,0
49,C0_CURRENT_V15,F,ALL,63,0,0.0,0
49,C0_CURRENT_V15,DF,P1,74,0,0.0,0
49,C0_CURRENT_V15,DF,P2,74,0,0.0,0
49,C0_CURRENT_V15,DF,P1P2,74,0,0.0,0
49,C0_CURRENT_V15,DF,ALL,74,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,AB,P1,12,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,AB,P2,12,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,AB,P1P2,12,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,AB,ALL,12,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,D,P1,11,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,D,P2,11,0,0.0,0
49,C1_BOUNDARY_PROPAGATION,D,P1P2,11,0,0.0,0
