seed_scope,variant,branch_count,mean_total_items,median_total_items,p95_total_items,max_total_items,mean_estimated_characters,p95_estimated_characters,max_estimated_characters,context_efficiency,cross_branch_duplicate_item_occurrences,vote_correct_items_added_as_repair
48,C0_CURRENT_V15,64,1.90625,2.0,2.0,2,2202.3125,2395.0,2395,0.6147540983606558,0,not_separable_from_historical_context
48,C1_BOUNDARY_PROPAGATION,64,4.25,4.0,6.0,6,88.75,115.0,115,0.5257352941176471,0,0
48,C2_BOUNDARY_PLUS_PRESERVATION,64,10.25,10.0,12.0,12,221.75,248.0,248,0.8033536585365854,118,0
48,C3_COALITION_AWARE_PRESERVATION,64,10.25,10.0,12.0,12,570.90625,734.0,734,0.8033536585365854,118,0
49,C0_CURRENT_V15,64,1.78125,2.0,2.0,2,2118.21875,2540.0,2546,0.5964912280701754,0,not_separable_from_historical_context
49,C1_BOUNDARY_PROPAGATION,64,3.421875,2.0,6.0,6,76.328125,115.0,115,0.5616438356164384,0,0
49,C2_BOUNDARY_PLUS_PRESERVATION,64,9.421875,8.0,12.0,12,209.328125,248.0,248,0.8407960199004975,103,0
49,C3_COALITION_AWARE_PRESERVATION,64,9.421875,8.0,12.0,12,523.53125,742.0,742,0.8407960199004975,103,0
50,C0_CURRENT_V15,64,1.84375,2.0,2.0,2,2274.71875,2606.0,2606,0.5677966101694916,0,not_separable_from_historical_context
50,C1_BOUNDARY_PROPAGATION,64,3.609375,3.0,6.0,6,79.140625,115.0,115,0.5021645021645021,0,0
50,C2_BOUNDARY_PLUS_PRESERVATION,64,9.609375,9.0,12.0,12,212.140625,248.0,248,0.8130081300813008,102,0
50,C3_COALITION_AWARE_PRESERVATION,64,9.609375,9.0,12.0,12,529.0625,660.0,734,0.8130081300813008,102,0
all,C0_CURRENT_V15,192,1.84375,2.0,2.0,2,2198.4166666666665,2544.0,2606,0.5932203389830508,0,not_separable_from_historical_context
all,C1_BOUNDARY_PROPAGATION,192,3.7604166666666665,4.0,6.0,6,81.40625,115.0,115,0.5290858725761773,0,0
all,C2_BOUNDARY_PLUS_PRESERVATION,192,9.760416666666666,10.0,12.0,12,214.40625,248.0,248,0.8185699039487727,323,0
all,C3_COALITION_AWARE_PRESERVATION,192,9.760416666666666,10.0,12.0,12,541.1666666666666,734.0,742,0.8185699039487727,323,0
