agents,baseline_only,candidate_eval_batch_size,elapsed_sec,enable_diversification_reward,epochs_completed,epochs_target,family_expansion_enabled,family_expansion_model,family_taxonomy_path,final_test_mean_family_diversity,final_test_mean_family_homogeneity_rate,final_test_mean_llm_direct_diversity_score,final_test_vote_acc,final_train_mean_family_diversity,final_train_mean_family_homogeneity_rate,final_train_mean_llm_direct_diversity_score,final_train_vote_acc,init_mode,lambda_diversity,lambda_homogeneity,lambda_invalid_trace,macro_diversity_weight,out_dir,primary_family_weight,return_code,same_major_family_weight,secondary_family_weight,setting,status,task_type,test_path,test_size,update_every,use_dual_family_labels
5,1,0,1738.5566618442535,0,1,0,1,deepseek-v4-pro,family_taxonomy.json,0.4101757714667657,0.75115,0.0,0.77,0.0,0.0,0.0,0.0,shared,0.0,0.0,0.0,0.5,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_abcd\E_shared_testonly,0.7,0,0.5,0.3,E_shared_testonly,ok,mmlu,mmlu_test.jsonl,100,0,1
5,1,0,1754.2925291061401,0,1,0,1,deepseek-v4-pro,family_taxonomy.json,0.4420645795525911,0.6845599999999998,0.0,0.74,0.0,0.0,0.0,0.0,bank,0.0,0.0,0.0,0.5,D:\games waiting for me\grade_one\experiments\multi_agent_diversity\runs_abcd\F_bank_testonly,0.7,0,0.5,0.3,F_bank_testonly,ok,mmlu,mmlu_test.jsonl,100,0,1
