arm,seed,provider_calls,prompt_tokens,completion_tokens,total_tokens
S0,56,0,0,0,0
S1,56,1799,512184,109994,622178
S2,56,1651,541559,133223,674782
S3,56,2156,579695,28652,608347
S4,56,1793,509196,17739,526935
S0,57,0,0,0,0
S1,57,3308,924492,267953,1192445
S2,57,1574,492268,91095,583363
S3,57,1709,475546,15994,491540
S4,57,1790,477132,16288,493420
S0,58,0,0,0,0
S1,58,2478,675200,125510,800710
S2,58,1876,624346,144411,768757
S3,58,1712,461634,25739,487373
S4,58,1869,582940,37947,620887
