arm,mean_train_vote_accuracy,mean_validation_vote_accuracy,mean_test_vote_accuracy,median_test_vote_accuracy,mean_g_min,mean_g_sum,total_accepted_updates,total_training_provider_calls,total_training_tokens
S0,0.6711111111111111,0.6466666666666667,0.6826666666666666,0.68,0,0,0,0,0
S1,0.7466666666666667,0.6,0.712,0.72,1.3333333333333333,24,13,7585,2615333
S2,0.7022222222222222,0.6466666666666667,0.6986666666666667,0.68,0,11,8,5101,2026902
S3,0.7511111111111112,0.6133333333333333,0.7013333333333333,0.704,0,12.333333333333334,10,5577,1587260
S4,0.7422222222222222,0.6066666666666667,0.7066666666666667,0.712,0,12.333333333333334,12,5452,1641242
