candidate_hash,case_id,parent_competence_role,parent_gold_vote_count,parent_largest_wrong_vote_count,parent_plurality_margin,parent_vote_correct,question_hash,scope,seed,transition
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,not_parent_correct,1,4,-3,False,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,nonresponsibility,48,gain
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,4c91d834f4b0dffc5275ccba1fc683527222f7e87da1c7681d273f34a590729e,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,not_parent_correct,0,4,-4,False,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,nonresponsibility,48,gain
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,4,1,3,True,67bfcd3c5d850af456066a5555aee26dd15058807bb9d1215e6268737cc71928,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,4,1,3,True,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,9df0bc490f9cce42db9952b02ffbf57b27f49b0413fd0de51b4cceb12e32ab9e,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,b8dee9691a011f0e090fc9ea2b30273e3906c637f4c85c906fcf6b902645a94a,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,be306a54d5fd78716f8762885f9f374ce1a0cb9d213a29b3bc84e6c4708d4e55,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,not_parent_correct,1,4,-3,False,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,responsibility,48,gain
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,not_parent_correct,1,4,-3,False,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,nonresponsibility,48,gain
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,df360c368987d8dbc17e1fa2bc8f00cc572e2ccfe1f0ece5b47e2f67fb7e7e99,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,4,1,3,True,e2ed6ca2a4a75717c23060340ff5cc1e63b1197753437bfb370629f3c83d91f5,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,f478b554d5bf2b7f9fce8b7411643910a3444612eb0717f669f05b836b0ab4c5,nonresponsibility,48,loss
3b494ddc756e70cf877ee46224ad72d4fd81cba71dd77754bf801ef849879671,seed48_structural_parent1_target0,stable,5,0,5,True,ffb8315c493fd31ed5d3958a4d9701ce0966d8eda0fee57d4f267d78c2bdc3d6,nonresponsibility,48,loss
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,stable,5,0,5,True,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,nonresponsibility,48,loss
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,stable,5,0,5,True,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,nonresponsibility,48,loss
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,not_parent_correct,1,4,-3,False,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,nonresponsibility,48,gain
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,stable,5,0,5,True,4c91d834f4b0dffc5275ccba1fc683527222f7e87da1c7681d273f34a590729e,nonresponsibility,48,loss
df37e4360977a65edcb47bc7786fbc48869469065668ed5aabdaa703d98af8d2,seed48_structural_parent1_target0,not_parent_correct,0,4,-4,False,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,nonresponsibility,48,gain
