variant,cell_count,requested_candidates,raw_candidates,valid_candidates,evaluated_candidates,common_safe_feasible_candidates,critic_semantic_rejection_rate,critic_exhausted_branch_rate,student_reach_rate,valid_per_requested,feasible_per_evaluated,geometry_A,geometry_B,geometry_C,geometry_D,geometry_E,geometry_F,F_fraction,D_fraction,repair_gain_rate,responsibility_residual_gain_rate,vote_gain_candidate_rate,target_regression_rate,vote_loss_rate,mean_edit_ratio,median_edit_ratio,p95_edit_ratio,mean_changed_lines
m20_current_v15,4,6,6,6,6,5,0.4,0.25,0.75,1.0,0.8333333333333334,0,5,0,0,0,1,0.16666666666666666,0.0,1.0,1.0,0.0,0.16666666666666666,0.0,3.145038167938931,3.0763358778625953,3.946564885496183,1.0
m2a_residual_diagnosis,4,8,8,8,8,3,0.0,0.0,1.0,1.0,0.375,0,3,0,0,0,5,0.625,0.0,0.75,0.75,0.0,0.625,0.0,3.0381679389312977,3.0076335877862594,3.633587786259542,1.0
m2b_diagnosis_minimal_edit,4,6,6,6,6,5,0.4,0.25,0.75,1.0,0.8333333333333334,0,5,0,0,0,1,0.16666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,3.0534351145038165,2.965648854961832,3.5801526717557253,1.0
m2c_diagnosis_minimal_edit_relevance_critic,4,2,2,2,2,1,0.8571428571428571,0.75,0.25,1.0,0.5,0,1,0,0,0,1,0.5,0.0,1.0,1.0,0.0,0.0,0.0,3.5038167938931295,3.5038167938931295,3.7404580152671754,1.0
